geo_id,country_id
1419,221
1420,221
1421,221
1422,221
1423,221
1424,221
1425,221
1426,221
1427,221
1428,221
1429,221
1430,221
1431,221
1432,221
1433,221
1434,221
1435,221
1436,221
1437,221
1438,221
1439,221
1440,221
1441,221
1442,221
1443,221
1444,221
1445,221
1446,221
1447,221
1448,221
1449,221
1450,221
1451,221
1452,221
1453,221
1454,221
1455,221
1456,221
1457,221
1458,221
1459,221
1460,221
1461,221
1462,221
1463,221
1464,221
1465,221
1466,221
1467,221
1468,221
1469,221
1470,221
1471,221
1472,221
1473,221
1474,221
1475,221
1476,221
1477,221
1478,221
1479,221
1480,221
1481,221
1482,221
1483,221
1484,221
1485,221
1486,221
1487,221
1488,221
1489,221
1490,221
1491,221
1492,221
1493,221
1494,221
1495,221
