geo_id,geo_code,name,abbreviation
1651,county-22070000,สอยดาว,-
1652,county-22080000,แก่งหางแมว,-
1653,county-22090000,นายายอาม,-
1654,county-22100000,เขาคิชฌกูฏ,-
1655,county-23010000,เมืองตราด,-
1656,county-23020000,คลองใหญ่,-
1657,county-23030000,เขาสมิง,-
1658,county-23040000,บ่อไร่,-
1659,county-23050000,แหลมงอบ,-
1660,county-23060000,เกาะกูด,-
1661,county-23070000,เกาะช้าง,-
1662,county-24010000,เมืองฉะเชิงเทรา,-
1663,county-24020000,บางคล้า,-
1664,county-24030000,บางน้ำเปรี้ยว,-
1665,county-24040000,บางปะกง,-
1666,county-24050000,บ้านโพธิ์,-
1667,county-24060000,พนมสารคาม,-
1668,county-24070000,ราชสาส์น,-
1669,county-24080000,สนามชัยเขต,-
1670,county-24090000,แปลงยาว,-
1671,county-24100000,ท่าตะเกียบ,-
1672,county-24110000,คลองเขื่อน,-
1673,county-25010000,เมืองปราจีนบุรี,-
1674,county-25020000,กบินทร์บุรี,-
1675,county-25030000,นาดี,-
1676,county-25060000,บ้านสร้าง,-
1677,county-25070000,ประจันตคาม,-
1678,county-25080000,ศรีมหาโพธิ,-
1679,county-25090000,ศรีมโหสถ,-
1680,county-26010000,เมืองนครนายก,-
1681,county-26020000,ปากพลี,-
1682,county-26030000,บ้านนา,-
1683,county-26040000,องครักษ์,-
1684,county-27010000,เมืองสระแก้ว,-
1685,county-27020000,คลองหาด,-
1686,county-27030000,ตาพระยา,-
1687,county-27040000,วังน้ำเย็น,-
1688,county-27050000,วัฒนานคร,-
1689,county-27060000,อรัญประเทศ,-
1690,county-27070000,เขาฉกรรจ์,-
1691,county-27080000,โคกสูง,-
1692,county-27090000,วังสมบูรณ์,-
1693,county-30010000,เมืองนครราชสีมา,-
1694,county-30020000,ครบุรี,-
1695,county-30030000,เสิงสาง,-
1696,county-30040000,คง,-
1697,county-30050000,บ้านเหลื่อม,-
1698,county-30060000,จักราช,-
1699,county-30070000,โชคชัย,-
1700,county-30080000,ด่านขุนทด,-
1701,county-30090000,โนนไทย,-
1702,county-30100000,โนนสูง,-
1703,county-30110000,ขามสะแกแสง,-
1704,county-30120000,บัวใหญ่,-
1705,county-30130000,ประทาย,-
1706,county-30140000,ปักธงชัย,-
1707,county-30150000,พิมาย,-
1708,county-30160000,ห้วยแถลง,-
1709,county-30170000,ชุมพวง,-
1710,county-30180000,สูงเนิน,-
1711,county-30190000,ขามทะเลสอ,-
1712,county-30200000,สีคิ้ว,-
1713,county-30210000,ปากช่อง,-
1714,county-30220000,หนองบุญมาก,-
1715,county-30230000,แก้งสนามนาง,-
1716,county-30240000,โนนแดง,-
1717,county-30250000,วังน้ำเขียว,-
1718,county-30260000,เทพารักษ์,-
1719,county-30270000,เมืองยาง,-
1720,county-30280000,พระทองคำ,-
1721,county-30290000,ลำทะเมนชัย,-
1722,county-30300000,บัวลาย,-
1723,county-30310000,สีดา,-
1724,county-30320000,เฉลิมพระเกียรติ,-
1725,county-31010000,เมืองบุรีรัมย์,-
1726,county-31020000,คูเมือง,-
1727,county-31030000,กระสัง,-
1728,county-31040000,นางรอง,-
1729,county-31050000,หนองกี่,-
1730,county-31060000,ละหานทราย,-
1731,county-31070000,ประโคนชัย,-
1732,county-31080000,บ้านกรวด,-
1733,county-31090000,พุทไธสง,-
1734,county-31100000,ลำปลายมาศ,-
1735,county-31110000,สตึก,-
1736,county-31120000,ปะคำ,-
1737,county-31130000,นาโพธิ์,-
1738,county-31140000,หนองหงส์,-
1739,county-31150000,พลับพลาชัย,-
1740,county-31160000,ห้วยราช,-
1741,county-31170000,โนนสุวรรณ,-
1742,county-31180000,ชำนิ,-
1743,county-31190000,บ้านใหม่ไชยพจน์,-
1744,county-31200000,โนนดินแดง,-
1745,county-31210000,บ้านด่าน,-
1746,county-31220000,แคนดง,-
1747,county-31230000,เฉลิมพระเกียรติ,-
1748,county-32010000,เมืองสุรินทร์,-
1749,county-32020000,ชุมพลบุรี,-
1750,county-32030000,ท่าตูม,-
1751,county-32040000,จอมพระ,-
1752,county-32050000,ปราสาท,-
1753,county-32060000,กาบเชิง,-
1754,county-32070000,รัตนบุรี,-
1755,county-32080000,สนม,-
1756,county-32090000,ศีขรภูมิ,-
1757,county-32100000,สังขะ,-
1758,county-32110000,ลำดวน,-
1759,county-32120000,สำโรงทาบ,-
1760,county-32130000,บัวเชด,-
1761,county-32140000,พนมดงรัก,-
1762,county-32150000,ศรีณรงค์,-
1763,county-32160000,เขวาสินรินทร์,-
1764,county-32170000,โนนนารายณ์,-
1765,county-33010000,เมืองศรีสะเกษ,-
1766,county-33020000,ยางชุมน้อย,-
1767,county-33030000,กันทรารมย์,-
1768,county-33040000,กันทรลักษ์,-
1769,county-33050000,ขุขันธ์,-
1770,county-33060000,ไพรบึง,-
1771,county-33070000,ปรางค์กู่,-
1772,county-33080000,ขุนหาญ,-
1773,county-33090000,ราษีไศล,-
1774,county-33100000,อุทุมพรพิสัย,-
1775,county-33110000,บึงบูรพ์,-
1776,county-33120000,ห้วยทับทัน,-
1777,county-33130000,โนนคูณ,-
1778,county-33140000,ศรีรัตนะ,-
1779,county-33150000,น้ำเกลี้ยง,-
1780,county-33160000,วังหิน,-
1781,county-33170000,ภูสิงห์,-
1782,county-33180000,เมืองจันทร์,-
1783,county-33190000,เบญจลักษ์,-
1784,county-33200000,พยุห์,-
1785,county-33210000,โพธิ์ศรีสุวรรณ,-
1786,county-33220000,ศิลาลาด,-
1787,county-34010000,เมืองอุบลราชธานี,-
1788,county-34020000,ศรีเมืองใหม่,-
1789,county-34030000,โขงเจียม,-
1790,county-34040000,เขื่องใน,-
1791,county-34050000,เขมราฐ,-
1792,county-34070000,เดชอุดม,-
1793,county-34080000,นาจะหลวย,-
1794,county-34090000,น้ำยืน,-
1795,county-34100000,บุณฑริก,-
1796,county-34110000,ตระการพืชผล,-
1797,county-34120000,กุดข้าวปุ้น,-
1798,county-34140000,ม่วงสามสิบ,-
1799,county-34150000,วารินชำราบ,-
1800,county-34190000,พิบูลมังสาหาร,-
1801,county-34200000,ตาลสุม,-
1802,county-34210000,โพธิ์ไทร,-
1803,county-34220000,สำโรง,-
1804,county-34240000,ดอนมดแดง,-
1805,county-34250000,สิรินธร,-
1806,county-34260000,ทุ่งศรีอุดม,-
1807,county-34290000,นาเยีย,-
1808,county-34300000,นาตาล,-
1809,county-34310000,เหล่าเสือโก้ก,-
1810,county-34320000,สว่างวีระวงศ์,-
1811,county-34330000,น้ำขุ่น,-
1812,county-35010000,เมืองยโสธร,-
1813,county-35020000,ทรายมูล,-
1814,county-35030000,กุดชุม,-
1815,county-35040000,คำเขื่อนแก้ว,-
1816,county-35050000,ป่าติ้ว,-
1817,county-35060000,มหาชนะชัย,-
1818,county-35070000,ค้อวัง,-
1819,county-35080000,เลิงนกทา,-
1820,county-35090000,ไทยเจริญ,-
1821,county-36010000,เมืองชัยภูมิ,-
1822,county-36020000,บ้านเขว้า,-
1823,county-36030000,คอนสวรรค์,-
1824,county-36040000,เกษตรสมบูรณ์,-
1825,county-36050000,หนองบัวแดง,-
1826,county-36060000,จัตุรัส,-
1827,county-36070000,บำเหน็จณรงค์,-
1828,county-36080000,หนองบัวระเหว,-
1829,county-36090000,เทพสถิต,-
1830,county-36100000,ภูเขียว,-
1831,county-36110000,บ้านแท่น,-
1832,county-36120000,แก้งคร้อ,-
1833,county-36130000,คอนสาร,-
