,geo_id,state_id
348,1844,1445
349,1845,1445
350,1846,1445
351,1847,1445
352,1848,1445
353,1849,1445
354,1850,1445
355,1851,1445
356,1852,1446
357,1853,1446
358,1854,1446
359,1855,1446
360,1856,1446
361,1857,1446
362,1858,1447
363,1859,1447
364,1860,1447
365,1861,1447
366,1862,1447
367,1863,1447
368,1864,1447
369,1865,1447
370,1866,1447
371,1867,1447
372,1868,1447
373,1869,1447
374,1870,1447
375,1871,1447
376,1872,1447
377,1873,1447
378,1874,1447
379,1875,1447
380,1876,1447
381,1877,1447
382,1878,1447
383,1879,1447
384,1880,1447
385,1881,1447
386,1882,1447
387,1883,1447
388,1884,1448
389,1885,1448
390,1886,1448
391,1887,1448
392,1888,1448
393,1889,1448
394,1890,1448
395,1891,1448
396,1892,1448
397,1893,1448
398,1894,1448
399,1895,1448
400,1896,1448
401,1897,1448
402,1898,1448
403,1899,1448
404,1900,1448
405,1901,1448
406,1902,1448
407,1903,1448
408,1904,1449
409,1905,1449
410,1906,1449
411,1907,1449
412,1908,1449
413,1909,1449
414,1910,1449
415,1911,1449
416,1912,1449
417,1913,1449
418,1914,1449
419,1915,1449
420,1916,1449
421,1917,1449
422,1918,1450
423,1919,1450
424,1920,1450
425,1921,1450
426,1922,1450
427,1923,1450
428,1924,1450
429,1925,1450
430,1926,1450
431,1927,1451
432,1928,1451
433,1929,1451
434,1930,1451
435,1931,1451
436,1932,1451
437,1933,1451
438,1934,1451
439,1935,1451
440,1936,1451
441,1937,1451
442,1938,1451
443,1939,1451
444,1940,1452
445,1941,1452
446,1942,1452
447,1943,1452
448,1944,1452
449,1945,1452
450,1946,1452
451,1947,1452
452,1948,1452
453,1949,1452
454,1950,1452
455,1951,1452
456,1952,1452
457,1953,1452
458,1954,1452
459,1955,1452
460,1956,1452
461,1957,1452
462,1958,1452
463,1959,1452
464,1960,1453
465,1961,1453
466,1962,1453
467,1963,1453
468,1964,1453
469,1965,1453
470,1966,1453
471,1967,1453
472,1968,1453
473,1969,1453
474,1970,1453
475,1971,1453
476,1972,1453
477,1973,1453
478,1974,1453
479,1975,1453
480,1976,1453
481,1977,1453
482,1978,1454
483,1979,1454
484,1980,1454
485,1981,1454
486,1982,1454
487,1983,1454
488,1984,1454
489,1985,1454
490,1986,1454
491,1987,1454
492,1988,1454
493,1989,1454
494,1990,1454
495,1991,1454
496,1992,1454
497,1993,1454
498,1994,1454
499,1995,1454
500,1996,1455
501,1997,1455
502,1998,1455
503,1999,1455
504,2000,1455
505,2001,1455
506,2002,1455
507,2003,1455
508,2004,1455
509,2005,1455
510,2006,1455
511,2007,1455
512,2008,1456
513,2009,1456
514,2010,1456
515,2011,1456
516,2012,1456
517,2013,1456
518,2014,1456
519,2015,1457
520,2016,1457
521,2017,1457
522,2018,1457
523,2019,1457
524,2020,1457
525,2021,1457
526,2022,1457
527,2023,1457
528,2024,1457
529,2025,1457
530,2026,1457
531,2027,1457
532,2028,1457
533,2029,1457
534,2030,1457
535,2031,1457
536,2032,1457
537,2033,1457
538,2034,1457
539,2035,1457
540,2036,1457
541,2037,1457
542,2038,1457
543,2039,1457
544,2040,1458
545,2041,1458
546,2042,1458
547,2043,1458
548,2044,1458
549,2045,1458
550,2046,1458
551,2047,1458
552,2048,1459
553,2049,1459
554,2050,1459
555,2051,1459
556,2052,1459
557,2053,1459
558,2054,1459
559,2055,1459
560,2056,1459
561,2057,1459
562,2058,1459
563,2059,1459
564,2060,1459
565,2061,1460
566,2062,1460
567,2063,1460
568,2064,1460
569,2065,1460
570,2066,1460
571,2067,1460
572,2068,1460
573,2069,1460
574,2070,1461
575,2071,1461
576,2072,1461
577,2073,1461
578,2074,1461
579,2075,1461
580,2076,1461
581,2077,1461
582,2078,1462
583,2079,1462
584,2080,1462
585,2081,1462
586,2082,1462
587,2083,1462
588,2084,1462
589,2085,1462
590,2086,1462
591,2087,1462
592,2088,1462
593,2089,1462
594,2090,1462
595,2091,1462
596,2092,1462
597,2093,1463
598,2094,1463
599,2095,1463
600,2096,1463
601,2097,1463
602,2098,1463
603,2099,1463
604,2100,1463
605,2101,1463
606,2102,1464
607,2103,1464
608,2104,1464
609,2105,1464
610,2106,1464
611,2107,1464
612,2108,1464
613,2109,1464
614,2110,1464
615,2111,1464
616,2112,1464
617,2113,1464
618,2114,1464
619,2115,1464
620,2116,1464
621,2117,1464
622,2118,1464
623,2119,1464
624,2120,1465
625,2121,1465
626,2122,1465
627,2123,1465
628,2124,1465
629,2125,1465
630,2126,1465
631,2127,1466
632,2128,1466
633,2129,1466
634,2130,1466
635,2131,1466
636,2132,1466
637,2133,1466
638,2134,1466
639,2135,1466
640,2136,1466
641,2137,1466
642,2138,1466
643,2139,1466
644,2140,1466
645,2141,1466
646,2142,1467
647,2143,1467
648,2144,1467
649,2145,1467
650,2146,1467
651,2147,1467
652,2148,1467
653,2149,1467
654,2150,1468
655,2151,1468
656,2152,1468
657,2153,1468
658,2154,1468
659,2155,1468
660,2156,1468
661,2157,1468
662,2158,1468
663,2159,1468
664,2160,1468
665,2161,1469
666,2162,1469
667,2163,1469
668,2164,1469
669,2165,1469
670,2166,1469
671,2167,1469
672,2168,1469
673,2169,1469
674,2170,1470
675,2171,1470
676,2172,1470
677,2173,1470
678,2174,1470
679,2175,1470
680,2176,1470
681,2177,1470
682,2178,1470
683,2179,1471
684,2180,1471
685,2181,1471
686,2182,1471
687,2183,1471
688,2184,1471
689,2185,1471
690,2186,1471
691,2187,1471
692,2188,1472
693,2189,1472
694,2190,1472
695,2191,1472
696,2192,1472
697,2193,1472
698,2194,1472
699,2195,1472
700,2196,1472
701,2197,1472
702,2198,1472
703,2199,1472
704,2200,1473
705,2201,1473
706,2202,1473
707,2203,1473
708,2204,1473
709,2205,1473
710,2206,1473
711,2207,1473
712,2208,1473
713,2209,1473
714,2210,1473
715,2211,1474
716,2212,1474
717,2213,1474
718,2214,1474
719,2215,1474
720,2216,1474
721,2217,1474
722,2218,1474
723,2219,1474
724,2220,1474
725,2221,1475
726,2222,1475
727,2223,1475
728,2224,1475
729,2225,1475
730,2226,1475
731,2227,1475
732,2228,1475
733,2229,1475
734,2230,1475
735,2231,1475
736,2232,1475
737,2233,1475
738,2234,1476
739,2235,1476
740,2236,1476
741,2237,1476
742,2238,1476
743,2239,1476
744,2240,1476
745,2241,1476
746,2242,1476
747,2243,1476
748,2244,1477
749,2245,1477
750,2246,1477
751,2247,1477
752,2248,1477
753,2249,1477
754,2250,1477
755,2251,1478
756,2252,1478
757,2253,1478
758,2254,1479
759,2255,1479
760,2256,1479
761,2257,1480
762,2258,1480
763,2259,1480
764,2260,1480
765,2261,1480
766,2262,1480
767,2263,1480
768,2264,1480
769,2265,1481
770,2266,1481
771,2267,1481
772,2268,1481
773,2269,1481
774,2270,1481
775,2271,1481
776,2272,1481
