,geo_id,geo_code,name,abbreviation,type_id
133,389,postal-17140,สรรคบุรี,17140,6
134,390,postal-17130,หันคา,17130,6
135,391,postal-17160,หันคา,17160,6
136,392,postal-17120,หนองมะโมง,17120,6
137,393,postal-17130,เนินขาม,17130,6
138,394,postal-18000,เมืองสระบุรี,18000,6
139,395,postal-18110,แก่งคอย,18110,6
140,396,postal-18260,แก่งคอย,18260,6
141,397,postal-18140,หนองแค,18140,6
142,398,postal-18250,หนองแค,18250,6
143,399,postal-18230,หนองแค,18230,6
144,400,postal-18150,วิหารแดง,18150,6
145,401,postal-18170,หนองแซง,18170,6
146,402,postal-18130,บ้านหมอ,18130,6
147,403,postal-18270,บ้านหมอ,18270,6
148,404,postal-18210,ดอนพุด,18210,6
149,405,postal-18190,หนองโดน,18190,6
150,406,postal-18120,พระพุทธบาท,18120,6
151,407,postal-18160,เสาไห้,18160,6
152,408,postal-18180,มวกเหล็ก,18180,6
153,409,postal-30130,มวกเหล็ก,30130,6
154,410,postal-18220,มวกเหล็ก,18220,6
155,411,postal-18220,วังม่วง,18220,6
156,412,postal-18000,เฉลิมพระเกียรติ,18000,6
157,413,postal-18240,เฉลิมพระเกียรติ,18240,6
158,414,postal-20000,เมืองชลบุรี,20000,6
159,415,postal-20130,เมืองชลบุรี,20130,6
160,416,postal-20170,บ้านบึง,20170,6
161,417,postal-20220,บ้านบึง,20220,6
162,418,postal-20190,หนองใหญ่,20190,6
163,419,postal-20150,บางละมุง,20150,6
164,420,postal-20160,พานทอง,20160,6
165,421,postal-20140,พนัสนิคม,20140,6
166,422,postal-20110,ศรีราชา,20110,6
167,423,postal-20230,ศรีราชา,20230,6
168,424,postal-20120,เกาะสีชัง,20120,6
169,425,postal-20180,สัตหีบ,20180,6
170,426,postal-20250,สัตหีบ,20250,6
171,427,postal-20270,บ่อทอง,20270,6
172,428,postal-20240,เกาะจันทร์,20240,6
173,429,postal-21000,เมืองระยอง,21000,6
174,430,postal-21160,เมืองระยอง,21160,6
175,431,postal-21100,เมืองระยอง,21100,6
176,432,postal-21150,เมืองระยอง,21150,6
177,433,postal-21130,บ้านฉาง,21130,6
178,434,postal-21110,แกลง,21110,6
179,435,postal-21190,แกลง,21190,6
180,436,postal-22160,แกลง,22160,6
181,437,postal-21170,แกลง,21170,6
182,438,postal-21210,วังจันทร์,21210,6
183,439,postal-21120,บ้านค่าย,21120,6
184,440,postal-21140,ปลวกแดง,21140,6
185,441,postal-21110,เขาชะเมา,21110,6
186,442,postal-21180,นิคมพัฒนา,21180,6
187,443,postal-22000,เมืองจันทบุรี,22000,6
