geo_id,geo_code,name_en,name_th,abbreviation,type_id
1600,17020000,Bang Rachan,บางระจัน,-,5
1601,17030000,Khai Bang Rachan,ค่ายบางระจัน,-,5
1602,17040000,Phrom Buri,พรหมบุรี,-,5
1603,17050000,Tha Chang,ท่าช้าง,-,5
1604,17060000,In Buri,อินทร์บุรี,-,5
1605,18010000,Mueang Chai Nat,เมืองชัยนาท,-,5
1606,18020000,Manorom,มโนรมย์,-,5
1607,18030000,Wat Sing,วัดสิงห์,-,5
1608,18040000,Sapphaya,สรรพยา,-,5
1609,18050000,Sankhaburi,สรรคบุรี,-,5
1610,18060000,Hankha,หันคา,-,5
1611,18070000,Nong Mamong,หนองมะโมง,-,5
1612,18080000,Noen Kham,เนินขาม,-,5
1613,19010000,Mueang Saraburi,เมืองสระบุรี,-,5
1614,19020000,Kaeng Khoi,แก่งคอย,-,5
1615,19030000,Nong Khae,หนองแค,-,5
1616,19040000,Wihan Daeng,วิหารแดง,-,5
1617,19050000,Nong Saeng,หนองแซง,-,5
1618,19060000,Ban Mo,บ้านหมอ,-,5
1619,19070000,Don Phut,ดอนพุด,-,5
1620,19080000,Nong Don,หนองโดน,-,5
1621,19090000,Phra Phutthabat,พระพุทธบาท,-,5
1622,19100000,Sao Hai,เสาไห้,-,5
1623,19110000,Muak Lek,มวกเหล็ก,-,5
1624,19120000,Wang Muang,วังม่วง,-,5
1625,19130000,Chaloem Phra Kiat,เฉลิมพระเกียรติ,-,5
1625,19130000,Chaloem Phra Kiat,เฉลิมพระเกียรติ,-,5
1625,19130000,Chaloem Phra Kiat,เฉลิมพระเกียรติ,-,5
1625,19130000,Chaloem Phra Kiat,เฉลิมพระเกียรติ,-,5
1625,19130000,Chaloem Phra Kiat,เฉลิมพระเกียรติ,-,5
1626,20010000,Mueang Chon Buri,เมืองชลบุรี,-,5
1627,20020000,Ban Bueng,บ้านบึง,-,5
1628,20030000,Nong Yai,หนองใหญ่,-,5
1629,20040000,Bang Lamung,บางละมุง,-,5
1630,20050000,Phan Thong,พานทอง,-,5
1631,20060000,Phanat Nikhom,พนัสนิคม,-,5
1632,20070000,Si Racha,ศรีราชา,-,5
1633,20080000,Ko Sichang,เกาะสีชัง,-,5
1634,20090000,Sattahip,สัตหีบ,-,5
1635,20100000,Bo Thong,บ่อทอง,-,5
1636,20110000,Ko Chan,เกาะจันทร์,-,5
1637,21010000,Mueang Rayong,เมืองระยอง,-,5
1638,21020000,Ban Chang,บ้านฉาง,-,5
1639,21030000,Klaeng,แกลง,-,5
1640,21040000,Wang Chan,วังจันทร์,-,5
1641,21050000,Ban Khai,บ้านค่าย,-,5
1642,21060000,Pluak Daeng,ปลวกแดง,-,5
1643,21070000,Khao Chamao,เขาชะเมา,-,5
1644,21080000,Nikhom Phatthana,นิคมพัฒนา,-,5
1645,22010000,Mueang Chanthaburi,เมืองจันทบุรี,-,5
1646,22020000,Khlung,ขลุง,-,5
