,code,nameTh,nameEn,cc,aa,tt
0,10000000,กรุงเทพมหานคร,Bangkok,10,00,00
1,10010000,เขตพระนคร,Phra Nakhon,10,01,00
2,10010100,พระบรมมหาราชวัง,Phra Borom Maha Ratchawang,10,01,01
3,10010200,วังบูรพาภิรมย์,Wang Burapha Phirom,10,01,02
4,10010300,วัดราชบพิธ,Wat Ratchabophit,10,01,03
5,10010400,สำราญราษฎร์,Samran Rat,10,01,04
6,10010500,ศาลเจ้าพ่อเสือ,San Chao Pho Suea,10,01,05
7,10010600,เสาชิงช้า,Sao Chingcha,10,01,06
8,10010700,บวรนิเวศ,Bowon Niwet,10,01,07
9,10010800,ตลาดยอด,Talat Yot,10,01,08
10,10010900,ชนะสงคราม,Chana Songkhram,10,01,09
11,10011000,บ้านพานถม,Ban Phan Thom,10,01,10
12,10011100,บางขุนพรหม,Bang Khun Phrom,10,01,11
13,10011200,วัดสามพระยา,Wat Sam Phraya,10,01,12
14,10020000,เขตดุสิต,Dusit,10,02,00
15,10020100,ดุสิต,Dusit,10,02,01
16,10020200,วชิรพยาบาล,Wachira Phayaban,10,02,02
17,10020300,สวนจิตรลดา,Suan Chitlada,10,02,03
18,10020400,สี่แยกมหานาค,Si Yaek Mahanak,10,02,04
20,10020600,ถนนนครไชยศรี,Thanon Nakhon Chai Si,10,02,06
22,10030000,เขตหนองจอก,Nong Chok,10,03,00
23,10030100,กระทุ่มราย,Krathum Rai,10,03,01
24,10030200,หนองจอก,Nong Chok,10,03,02
25,10030300,คลองสิบ,Khlong Sip,10,03,03
26,10030400,คลองสิบสอง,Khlong Sip Song,10,03,04
27,10030500,โคกแฝด,Khok Faet,10,03,05
28,10030600,คู้ฝั่งเหนือ,Khu Fang Nuea,10,03,06
29,10030700,ลำผักชี,Lam Phak Chi,10,03,07
30,10030800,ลำต้อยติ่ง,Lam Toiting,10,03,08
31,10040000,เขตบางรัก,Bang Rak,10,04,00
32,10040100,มหาพฤฒาราม,Maha Phruettharam,10,04,01
33,10040200,สีลม,Si Lom,10,04,02
34,10040300,สุริยวงศ์,Suriyawong,10,04,03
35,10040400,บางรัก,Bang Rak,10,04,04
36,10040500,สี่พระยา,Si Phraya,10,04,05
37,10050000,เขตบางเขน,Bang Khen,10,05,00
39,10050200,อนุสาวรีย์,Anusawari,10,05,02
45,10050800,ท่าแร้ง,Tha Raeng,10,05,08
48,10060000,เขตบางกะปิ,Bang Kapi,10,06,00
49,10060100,คลองจั่น,Khlong Chan,10,06,01
56,10060800,หัวหมาก,Hua Mak,10,06,08
57,10070000,เขตปทุมวัน,Pathum Wan,10,07,00
58,10070100,รองเมือง,Rong Mueang,10,07,01
59,10070200,วังใหม่,Wang Mai,10,07,02
60,10070300,ปทุมวัน,Pathum Wan,10,07,03
61,10070400,ลุมพินี,Lumphini,10,07,04
62,10080000,เขตป้อมปราบศัตรูพ่าย,Pom Prap Sattru Phai,10,08,00
63,10080100,ป้อมปราบ,Pom Prap,10,08,01
64,10080200,วัดเทพศิรินทร์,Wat Thep Sirin,10,08,02
65,10080300,คลองมหานาค,Khlong Maha Nak,10,08,03
66,10080400,บ้านบาตร,Ban Bat,10,08,04
67,10080500,วัดโสมนัส,Wat Sommanat,10,08,05
69,10090000,เขตพระโขนง,Phra Khanong,10,09,00
74,10090500,บางจาก,Bang Chak,10,09,05
79,10091000,พระโขนงใต้,Phra Khanong Tai,10,09,10
83,10100000,เขตมีนบุรี,Min Buri,10,10,00
84,10100100,มีนบุรี,Min Buri,10,10,01
85,10100200,แสนแสบ,Saen Saep,10,10,02
91,10110000,เขตลาดกระบัง,Lat Krabang,10,11,00
92,10110100,ลาดกระบัง,Lat Krabang,10,11,01
93,10110200,คลองสองต้นนุ่น,Khlong Song Ton Nun,10,11,02
94,10110300,คลองสามประเวศ,Khlong Sam Prawet,10,11,03
95,10110400,ลำปลาทิว,Lam Pla Thio,10,11,04
96,10110500,ทับยาว,Thap Yao,10,11,05
97,10110600,ขุมทอง,Khum Thong,10,11,06
98,10120000,เขตยานนาวา,Yan Nawa,10,12,00
101,10120300,ช่องนนทรี,Chong Nonsi,10,12,03
102,10120400,บางโพงพาง,Bang Phongphang,10,12,04
109,10130000,เขตสัมพันธวงศ์,Samphanthawong,10,13,00
110,10130100,จักรวรรดิ,Chakkrawat,10,13,01
111,10130200,สัมพันธวงศ์,Samphanthawong,10,13,02
112,10130300,ตลาดน้อย,Talat Noi,10,13,03
113,10140000,เขตพญาไท,Phaya Thai,10,14,00
114,10140100,สามเสนใน,Sam Sen Nai,10,14,01
119,10140600,พญาไท,Phaya Thai,10,14,06
121,10150000,เขตธนบุรี,Thon Buri,10,15,00
122,10150100,วัดกัลยาณ์,Wat Kanlaya,10,15,01
123,10150200,หิรัญรูจี,Hiran Ruchi,10,15,02
124,10150300,บางยี่เรือ,Bang Yi Ruea,10,15,03
125,10150400,บุคคโล,Bukkhalo,10,15,04
126,10150500,ตลาดพลู,Talat Phlu,10,15,05
127,10150600,ดาวคะนอง,Dao Khanong,10,15,06
128,10150700,สำเหร่,Samre,10,15,07
130,10160000,เขตบางกอกใหญ่,Bangkok Yai,10,16,00
131,10160100,วัดอรุณ,Wat Arun,10,16,01
132,10160200,วัดท่าพระ,Wat Tha Phra,10,16,02
133,10170000,เขตห้วยขวาง,Huai Khwang,10,17,00
134,10170100,ห้วยขวาง,Huai Khwang,10,17,01
135,10170200,บางกะปิ,Bang Kapi,10,17,02
137,10170400,สามเสนนอก,Sam Sen Nok,10,17,04
138,10180000,เขตคลองสาน,Khlong San,10,18,00
139,10180100,สมเด็จเจ้าพระยา,Somdet Chao Phraya,10,18,01
140,10180200,คลองสาน,Khlong San,10,18,02
141,10180300,บางลำภูล่าง,Bang Lamphu Lang,10,18,03
142,10180400,คลองต้นไทร,Khlong Ton Sai,10,18,04
143,10190000,เขตตลิ่งชัน,Taling Chan,10,19,00
144,10190100,คลองชักพระ,Khlong Chak Phra,10,19,01
145,10190200,ตลิ่งชัน,Taling Chan,10,19,02
146,10190300,ฉิมพลี,Chimphli,10,19,03
147,10190400,บางพรม,Bang Phrom,10,19,04
148,10190500,บางระมาด,Bang Ramat,10,19,05
150,10190700,บางเชือกหนัง,Bang Chueak Nang,10,19,07
152,10200000,เขตบางกอกน้อย,Bangkok Noi,10,20,00
156,10200400,ศิริราช,Sirirat,10,20,04
157,10200500,บ้านช่างหล่อ,Ban Chang Lo,10,20,05
158,10200600,บางขุนนนท์,Bang Khun Non,10,20,06
159,10200700,บางขุนศรี,Bang Khun Si,10,20,07
161,10200900,อรุณอมรินทร์,Arun Ammarin,10,20,09
165,10210000,เขตบางขุนเทียน,Bang Khun Thian,10,21,00
170,10210500,ท่าข้าม,Tha Kham,10,21,05
172,10210700,แสมดำ,Samae Dam,10,21,07
173,10220000,เขตภาษีเจริญ,Phasi Charoen,10,22,00
174,10220100,บางหว้า,Bang Wa,10,22,01
175,10220200,บางด้วน,Bang Duan,10,22,02
179,10220600,บางจาก,Bang Chak,10,22,06
180,10220700,บางแวก,Bang Waek,10,22,07
181,10220800,คลองขวาง,Khlong Khwang,10,22,08
182,10220900,ปากคลองภาษีเจริญ,Pak Khlong Phasi Charoen,10,22,09
183,10221000,คูหาสวรรค์,Khuha Sawan,10,22,10
184,10230000,เขตหนองแขม,Nong Khaem,10,23,00
186,10230200,หนองแขม,Nong Khaem,10,23,02
187,10230300,หนองค้างพลู,Nong Khang Phlu,10,23,03
188,10240000,เขตราษฎร์บูรณะ,Rat Burana,10,24,00
189,10240100,ราษฎร์บูรณะ,Rat Burana,10,24,01
190,10240200,บางปะกอก,Bang Pa Kok,10,24,02
193,10250000,เขตบางพลัด,Bang Phlat,10,25,00
194,10250100,บางพลัด,Bang Phlat,10,25,01
195,10250200,บางอ้อ,Bang O,10,25,02
196,10250300,บางบำหรุ,Bang Bamru,10,25,03
197,10250400,บางยี่ขัน,Bang Yi Khan,10,25,04
198,10260000,เขตดินแดง,Din Daeng,10,26,00
199,10260100,ดินแดง,Din Daeng,10,26,01
200,10260200,รัชดาภิเษก,Ratchadaphisek,10,26,02
201,10270000,เขตบึงกุ่ม,Bueng Kum,10,27,00
202,10270100,คลองกุ่ม,Khlong Kum,10,27,01
205,10270400,นวมินทร์,Nawamin,10,27,04
206,10270500,นวลจันทร์,Nuan Chan,10,27,05
207,10280000,เขตสาทร,Sathon,10,28,00
208,10280100,ทุ่งวัดดอน,Thung Wat Don,10,28,01
209,10280200,ยานนาวา,Yan Nawa,10,28,02
210,10280300,ทุ่งมหาเมฆ,Thung Maha Mek,10,28,03
211,10290000,เขตบางซื่อ,Bang Sue,10,29,00
212,10290100,บางซื่อ,Bang Sue,10,29,01
213,10290200,วงศ์สว่าง,Wong Sawang,10,29,02
214,10300000,เขตจตุจักร,Chatuchak,10,30,00
215,10300100,ลาดยาว,Lat Yao,10,30,01
216,10300200,เสนานิคม,Sena Nikhom,10,30,02
217,10300300,จันทรเกษม,Chan Kasem,10,30,03
218,10300400,จอมพล,Chom Phon,10,30,04
219,10300500,จตุจักร,Chatuchak,10,30,05
220,10310000,เขตบางคอแหลม,Bang Kho Laem,10,31,00
221,10310100,บางคอแหลม,Bang Kho Laem,10,31,01
222,10310200,วัดพระยาไกร,Wat Phraya Krai,10,31,02
223,10310300,บางโคล่,Bang Khlo,10,31,03
224,10320000,เขตประเวศ,Prawet,10,32,00
225,10320100,ประเวศ,Prawet,10,32,01
226,10320200,หนองบอน,Nong Bon,10,32,02
227,10320300,ดอกไม้,Dok Mai,10,32,03
229,10330000,เขตคลองเตย,Khlong Toei,10,33,00
230,10330100,คลองเตย,Khlong Toei,10,33,01
231,10330200,คลองตัน,Khlong Tan,10,33,02
232,10330300,พระโขนง,Phra Khanong,10,33,03
236,10340000,เขตสวนหลวง,Suan Luang,10,34,00
237,10340100,สวนหลวง,Suan Luang,10,34,01
238,10340200,อ่อนนุช,On Nut,10,34,02
239,10340300,พัฒนาการ,Phatthanakan,10,34,03
240,10350000,เขตจอมทอง,Chom Thong,10,35,00
241,10350100,บางขุนเทียน,Bang Khun Thian,10,35,01
242,10350200,บางค้อ,Bang Kho,10,35,02
243,10350300,บางมด,Bang Mot,10,35,03
244,10350400,จอมทอง,Chom Thong,10,35,04
245,10360000,เขตดอนเมือง,Don Mueang,10,36,00
247,10360200,สีกัน,Si Kan,10,36,02
249,10360400,ดอนเมือง,Don Mueang,10,36,04
250,10360500,สนามบิน,Sanam Bin,10,36,05
251,10370000,เขตราชเทวี,Ratchathewi,10,37,00
252,10370100,ทุ่งพญาไท,Thung Phaya Thai,10,37,01
253,10370200,ถนนพญาไท,Thanon Phaya Thai,10,37,02
254,10370300,ถนนเพชรบุรี,Thanon Phetchaburi,10,37,03
255,10370400,มักกะสัน,Makkasan,10,37,04
256,10380000,เขตลาดพร้าว,Lat Phrao,10,38,00
257,10380100,ลาดพร้าว,Lat Phrao,10,38,01
258,10380200,จรเข้บัว,Chorakhe Bua,10,38,02
259,10390000,เขตวัฒนา,Vadhana,10,39,00
260,10390100,คลองเตยเหนือ,Khlong Toei Nuea,10,39,01
261,10390200,คลองตันเหนือ,Khlong Tan Nuea,10,39,02
262,10390300,พระโขนงเหนือ,Phra Khanong Nuea,10,39,03
263,10400000,เขตบางแค,Bang Khae,10,40,00
264,10400100,บางแค,Bang Khae,10,40,01
265,10400200,บางแคเหนือ,Bang Khae Nuea,10,40,02
266,10400300,บางไผ่,Bang Phai,10,40,03
267,10400400,หลักสอง,Lak Song,10,40,04
268,10410000,เขตหลักสี่,Lak Si,10,41,00
269,10410100,ทุ่งสองห้อง,Thung Song Hong,10,41,01
270,10410200,ตลาดบางเขน,Talat Bang Khen,10,41,02
271,10420000,เขตสายไหม,Sai Mai,10,42,00
272,10420100,สายไหม,Sai Mai,10,42,01
273,10420200,ออเงิน,O Ngoen,10,42,02
274,10420300,คลองถนน,Khlong Thanon,10,42,03
275,10430000,เขตคันนายาว,Khan Na Yao,10,43,00
276,10430100,คันนายาว,Khan Na Yao,10,43,01
277,10430200,รามอินทรา,Ram Inthra,10,43,02
278,10440000,เขตสะพานสูง,Saphan Sung,10,44,00
279,10440100,สะพานสูง,Saphan Sung,10,44,01
280,10440200,ราษฎร์พัฒนา,Rat Phatthana,10,44,02
281,10440300,ทับช้าง,Thap Chang,10,44,03
282,10450000,เขตวังทองหลาง,Wang Thonglang,10,45,00
283,10450100,วังทองหลาง,Wang Thonglang,10,45,01
284,10450200,สะพานสอง,Saphan Song,10,45,02
285,10450300,คลองเจ้าคุณสิงห์,Khlong Chao Khun Sing,10,45,03
286,10450400,พลับพลา,Phlapphla,10,45,04
287,10460000,เขตคลองสามวา,Khlong Sam Wa,10,46,00
288,10460100,สามวาตะวันตก,Sam Wa Tawan Tok,10,46,01
289,10460200,สามวาตะวันออก,Sam Wa Tawan Ok,10,46,02
290,10460300,บางชัน,Bang Chan,10,46,03
291,10460400,ทรายกองดิน,Sai Kong Din,10,46,04
292,10460500,ทรายกองดินใต้,Sai Kong Din Tai,10,46,05
293,10470000,เขตบางนา,Bang Na,10,47,00
295,10470200,บางนาเหนือ,Bang Na Nuea,10,47,02
296,10470300,บางนาใต้,Bang Na Tai,10,47,03
297,10480000,เขตทวีวัฒนา,Thawi Watthana,10,48,00
298,10480100,ทวีวัฒนา,Thawi Watthana,10,48,01
299,10480200,ศาลาธรรมสพน์,Sala Thammasop,10,48,02
300,10490000,เขตทุ่งครุ,Thung Khru,10,49,00
301,10490100,บางมด,Bang Mot,10,49,01
302,10490200,ทุ่งครุ,Thung Khru,10,49,02
303,10500000,เขตบางบอน,Bang Bon,10,50,00
305,10500200,บางบอนเหนือ,Bang Bon Nuea,10,50,02
306,10500300,บางบอนใต้,Bang Bon Tai,10,50,03
307,10500400,คลองบางพราน,Khlong Bang Phran,10,50,04
308,10500500,คลองบางบอน,Khlong Bang Bon,10,50,05
311,11000000,สมุทรปราการ,Samut Prakan,11,00,00
312,11010000,เมืองสมุทรปราการ,Mueang Samut Prakan,11,01,00
313,11010100,ปากน้ำ,Paknam,11,01,01
314,11010200,สำโรงเหนือ,Samrong Nuea,11,01,02
315,11010300,บางเมือง,Bang Mueang,11,01,03
316,11010400,ท้ายบ้าน,Thai Ban,11,01,04
320,11010800,บางปูใหม่,Bang Pu Mai,11,01,08
322,11011000,แพรกษา,Phraekkasa,11,01,10
323,11011100,บางโปรง,Bang Prong,11,01,11
324,11011200,บางปู,Bang Pu,11,01,12
325,11011300,บางด้วน,Bang Duan,11,01,13
326,11011400,บางเมืองใหม่,Bang Mueang Mai,11,01,14
327,11011500,เทพารักษ์,Thepharak,11,01,15
328,11011600,ท้ายบ้านใหม่,Thai Ban Mai,11,01,16
329,11011700,แพรกษาใหม่,Phraekkasa Mai,11,01,17
336,11020000,บางบ่อ,Bang Bo,11,02,00
337,11020100,บางบ่อ,Bang Bo,11,02,01
338,11020200,บ้านระกาศ,Ban Rakat,11,02,02
339,11020300,บางพลีน้อย,Bang Phli Noi,11,02,03
340,11020400,บางเพรียง,Bang Phriang,11,02,04
341,11020500,คลองด่าน,Khlong Dan,11,02,05
342,11020600,คลองสวน,Khlong Suan,11,02,06
343,11020700,เปร็ง,Preng,11,02,07
344,11020800,คลองนิยมยาตรา,Khlong Niyom Yattra,11,02,08
346,11030000,บางพลี,Bang Phli,11,03,00
347,11030100,บางพลีใหญ่,Bang Phli Yai,11,03,01
348,11030200,บางแก้ว,Bang Kaeo,11,03,02
349,11030300,บางปลา,Bang Pla,11,03,03
350,11030400,บางโฉลง,Bang Chalong,11,03,04
354,11030800,ราชาเทวะ,Racha Thewa,11,03,08
355,11030900,หนองปรือ,Nong Prue,11,03,09
356,11040000,พระประแดง,Phra Pradaeng,11,04,00
357,11040100,ตลาด,Talat,11,04,01
358,11040200,บางพึ่ง,Bang Phueng,11,04,02
359,11040300,บางจาก,Bang Chak,11,04,03
360,11040400,บางครุ,Bang Khru,11,04,04
361,11040500,บางหญ้าแพรก,Bang Ya Phraek,11,04,05
362,11040600,บางหัวเสือ,Bang Hua Suea,11,04,06
363,11040700,สำโรงใต้,Samrong Tai,11,04,07
364,11040800,บางยอ,Bang Yo,11,04,08
365,11040900,บางกะเจ้า,Bang Kachao,11,04,09
366,11041000,บางน้ำผึ้ง,Bang Namphueng,11,04,10
367,11041100,บางกระสอบ,Bang Krasop,11,04,11
368,11041200,บางกอบัว,Bang Ko Bua,11,04,12
369,11041300,ทรงคนอง,Song Khanong,11,04,13
370,11041400,สำโรง,Samrong,11,04,14
371,11041500,สำโรงกลาง,Samrong Klang,11,04,15
372,11050000,พระสมุทรเจดีย์,Phra Samut Chedi,11,05,00
373,11050100,นาเกลือ,Na Kluea,11,05,01
374,11050200,บ้านคลองสวน,Ban Khlong Suan,11,05,02
375,11050300,แหลมฟ้าผ่า,Laem Fa Pha,11,05,03
376,11050400,ปากคลองบางปลากด,Pak Khlong Bang Pla Kot,11,05,04
377,11050500,ในคลองบางปลากด,Nai Khlong Bang Pla Kot,11,05,05
378,11060000,บางเสาธง,Bang Sao Thong,11,06,00
379,11060100,บางเสาธง,Bang Sao Thong,11,06,01
380,11060200,ศีรษะจรเข้น้อย,Sisa Chorakhe Noi,11,06,02
381,11060300,ศีรษะจรเข้ใหญ่,Sisa Chorakhe Yai,11,06,03
382,12000000,นนทบุรี,Nonthaburi,12,00,00
383,12010000,เมืองนนทบุรี,Mueang Nonthaburi,12,01,00
384,12010100,สวนใหญ่,Suan Yai,12,01,01
385,12010200,ตลาดขวัญ,Talat Khwan,12,01,02
386,12010300,บางเขน,Bang Khen,12,01,03
387,12010400,บางกระสอ,Bang Kraso,12,01,04
388,12010500,ท่าทราย,Tha Sai,12,01,05
389,12010600,บางไผ่,Bang Phai,12,01,06
390,12010700,บางศรีเมือง,Bang Si Mueang,12,01,07
391,12010800,บางกร่าง,Bang Krang,12,01,08
392,12010900,ไทรม้า,Sai Ma,12,01,09
393,12011000,บางรักน้อย,Bang Rak Noi,12,01,10
394,12020000,บางกรวย,Bang Kruai,12,02,00
395,12020100,วัดชลอ,Wat Chalo,12,02,01
396,12020200,บางกรวย,Bang Kruai,12,02,02
397,12020300,บางสีทอง,Bang Si Thong,12,02,03
398,12020400,บางขนุน,Bang Khanun,12,02,04
399,12020500,บางขุนกอง,Bang Khun Kong,12,02,05
400,12020600,บางคูเวียง,Bang Khu Wiang,12,02,06
401,12020700,มหาสวัสดิ์,Maha Sawat,12,02,07
402,12020800,ปลายบาง,Plai Bang,12,02,08
403,12020900,ศาลากลาง,Sala Klang,12,02,09
404,12030000,บางใหญ่,Bang Yai,12,03,00
405,12030100,บางม่วง,Bang Muang,12,03,01
406,12030200,บางแม่นาง,Bang Mae Nang,12,03,02
407,12030300,บางเลน,Bang Len,12,03,03
408,12030400,เสาธงหิน,Sao Thong Hin,12,03,04
409,12030500,บางใหญ่,Bang Yai,12,03,05
410,12030600,บ้านใหม่,Ban Mai,12,03,06
411,12040000,บางบัวทอง,Bang Bua Thong,12,04,00
412,12040100,โสนลอย,Sano Loi,12,04,01
413,12040200,บางบัวทอง,Bang Bua Thong,12,04,02
414,12040300,บางรักใหญ่,Bang Rak Yai,12,04,03
415,12040400,บางคูรัด,Bang Khu Rat,12,04,04
416,12040500,ละหาร,Lahan,12,04,05
417,12040600,ลำโพ,Lam Pho,12,04,06
418,12040700,พิมลราช,Phimon Rat,12,04,07
419,12040800,บางรักพัฒนา,Bang Rak Phatthana,12,04,08
420,12050000,ไทรน้อย,Sai Noi,12,05,00
421,12050100,ไทรน้อย,Sai Noi,12,05,01
422,12050200,ราษฎร์นิยม,Rat Niyom,12,05,02
423,12050300,หนองเพรางาย,Nong Phrao Ngai,12,05,03
424,12050400,ไทรใหญ่,Sai Yai,12,05,04
425,12050500,ขุนศรี,Khun Si,12,05,05
426,12050600,คลองขวาง,Khlong Khwang,12,05,06
427,12050700,ทวีวัฒนา,Thawi Watthana,12,05,07
428,12060000,ปากเกร็ด,Pak Kret,12,06,00
429,12060100,ปากเกร็ด,Pak Kret,12,06,01
430,12060200,บางตลาด,Bang Talat,12,06,02
431,12060300,บ้านใหม่,Ban Mai,12,06,03
432,12060400,บางพูด,Bang Phut,12,06,04
433,12060500,บางตะไนย์,Bang Tanai,12,06,05
434,12060600,คลองพระอุดม,Khlong Phra Udom,12,06,06
435,12060700,ท่าอิฐ,Tha It,12,06,07
436,12060800,เกาะเกร็ด,Ko Kret,12,06,08
437,12060900,อ้อมเกร็ด,Om Kret,12,06,09
438,12061000,คลองข่อย,Khlong Khoi,12,06,10
439,12061100,บางพลับ,Bang Phlap,12,06,11
440,12061200,คลองเกลือ,Khlong Kluea,12,06,12
443,13000000,ปทุมธานี,Pathum Thani,13,00,00
444,13010000,เมืองปทุมธานี,Mueang Pathum Thani,13,01,00
445,13010100,บางปรอก,Bang Prok,13,01,01
446,13010200,บ้านใหม่,Ban Mai,13,01,02
447,13010300,บ้านกลาง,Ban Klang,13,01,03
448,13010400,บ้านฉาง,Ban Chang,13,01,04
449,13010500,บ้านกระแชง,Ban Krachaeng,13,01,05
450,13010600,บางขะแยง,Bang Khayaeng,13,01,06
451,13010700,บางคูวัด,Bang Khu Wat,13,01,07
452,13010800,บางหลวง,Bang Luang,13,01,08
453,13010900,บางเดื่อ,Bang Duea,13,01,09
454,13011000,บางพูด,Bang Phut,13,01,10
455,13011100,บางพูน,Bang Phun,13,01,11
456,13011200,บางกะดี,Bang Kadi,13,01,12
457,13011300,สวนพริกไทย,Suan Phrikthai,13,01,13
458,13011400,หลักหก,Lak Hok,13,01,14
459,13020000,คลองหลวง,Khlong Luang,13,02,00
460,13020100,คลองหนึ่ง,Khlong Nueng,13,02,01
461,13020200,คลองสอง,Khlong Song,13,02,02
462,13020300,คลองสาม,Khlong Sam,13,02,03
463,13020400,คลองสี่,Khlong Si,13,02,04
464,13020500,คลองห้า,Khlong Ha,13,02,05
465,13020600,คลองหก,Khlong Hok,13,02,06
466,13020700,คลองเจ็ด,Khlong Chet,13,02,07
467,13030000,ธัญบุรี,Thanyaburi,13,03,00
468,13030100,ประชาธิปัตย์,Prachathipat,13,03,01
469,13030200,บึงยี่โถ,Bueng Yitho,13,03,02
470,13030300,รังสิต,Rangsit,13,03,03
471,13030400,ลำผักกูด,Lam Phak Kut,13,03,04
472,13030500,บึงสนั่น,Bueng Sanan,13,03,05
473,13030600,บึงน้ำรักษ์,Bueng Nam Rak,13,03,06
474,13040000,หนองเสือ,Nong Suea,13,04,00
475,13040100,บึงบา,Bueng Ba,13,04,01
476,13040200,บึงบอน,Bueng Bon,13,04,02
477,13040300,บึงกาสาม,Bueng Ka Sam,13,04,03
478,13040400,บึงชำอ้อ,Bueng Cham-o,13,04,04
479,13040500,หนองสามวัง,Nong Sam Wang,13,04,05
480,13040600,ศาลาครุ,Sala Khru,13,04,06
481,13040700,นพรัตน์,Noppharat,13,04,07
482,13050000,ลาดหลุมแก้ว,Lat Lum Kaeo,13,05,00
483,13050100,ระแหง,Rahaeng,13,05,01
484,13050200,ลาดหลุมแก้ว,Lat Lum Kaeo,13,05,02
485,13050300,คูบางหลวง,Khu Bang Luang,13,05,03
486,13050400,คูขวาง,Khu Khwang,13,05,04
487,13050500,คลองพระอุดม,Khlong Phra Udom,13,05,05
488,13050600,บ่อเงิน,Bo Ngoen,13,05,06
489,13050700,หน้าไม้,Na Mai,13,05,07
490,13060000,ลำลูกกา,Lam Luk Ka,13,06,00
491,13060100,คูคต,Khu Khot,13,06,01
492,13060200,ลาดสวาย,Lat Sawai,13,06,02
493,13060300,บึงคำพร้อย,Bueng Kham Phroi,13,06,03
494,13060400,ลำลูกกา,Lam Luk Ka,13,06,04
495,13060500,บึงทองหลาง,Bueng Thonglang,13,06,05
496,13060600,ลำไทร,Lam Sai,13,06,06
497,13060700,บึงคอไห,Bueng Kho Hai,13,06,07
498,13060800,พืชอุดม,Phuet Udom,13,06,08
499,13070000,สามโคก,Sam Khok,13,07,00
500,13070100,บางเตย,Bang Toei,13,07,01
501,13070200,คลองควาย,Khlong Khwai,13,07,02
502,13070300,สามโคก,Sam Khok,13,07,03
503,13070400,กระแชง,Krachaeng,13,07,04
504,13070500,บางโพธิ์เหนือ,Bang Pho Nuea,13,07,05
505,13070600,เชียงรากใหญ่,Chiang Rak Yai,13,07,06
506,13070700,บ้านปทุม,Ban Pathum,13,07,07
507,13070800,บ้านงิ้ว,Ban Ngio,13,07,08
508,13070900,เชียงรากน้อย,Chiang Rak Noi,13,07,09
509,13071000,บางกระบือ,Bang Krabue,13,07,10
510,13071100,ท้ายเกาะ,Thai Ko,13,07,11
512,14000000,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14,00,00
513,14010000,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14,01,00
514,14010100,ประตูชัย,Pratu Chai,14,01,01
515,14010200,กะมัง,Kamang,14,01,02
516,14010300,หอรัตนไชย,Ho Rattanachai,14,01,03
517,14010400,หัวรอ,Hua Ro,14,01,04
518,14010500,ท่าวาสุกรี,Tha Wasukri,14,01,05
519,14010600,ไผ่ลิง,Phai Ling,14,01,06
520,14010700,ปากกราน,Pak Kran,14,01,07
521,14010800,ภูเขาทอง,Phukhao Thong,14,01,08
522,14010900,สำเภาล่ม,Samphao Lom,14,01,09
523,14011000,สวนพริก,Suan Phrik,14,01,10
524,14011100,คลองตะเคียน,Khlong Takhian,14,01,11
525,14011200,วัดตูม,Wat Tum,14,01,12
526,14011300,หันตรา,Hantra,14,01,13
527,14011400,ลุมพลี,Lumphli,14,01,14
528,14011500,บ้านใหม่,Ban Mai,14,01,15
529,14011600,บ้านเกาะ,Ban Ko,14,01,16
530,14011700,คลองสวนพลู,Khlong Suan Phlu,14,01,17
531,14011800,คลองสระบัว,Khlong Sa Bua,14,01,18
532,14011900,เกาะเรียน,Ko Rian,14,01,19
533,14012000,บ้านป้อม,Ban Pom,14,01,20
534,14012100,บ้านรุน,Ban Run,14,01,21
536,14020000,ท่าเรือ,Tha Ruea,14,02,00
537,14020100,ท่าเรือ,Tha Ruea,14,02,01
538,14020200,จำปา,Champa,14,02,02
539,14020300,ท่าหลวง,Tha Luang,14,02,03
540,14020400,บ้านร่อม,Ban Rom,14,02,04
541,14020500,ศาลาลอย,Sala Loi,14,02,05
542,14020600,วังแดง,Wang Daeng,14,02,06
543,14020700,โพธิ์เอน,Pho En,14,02,07
544,14020800,ปากท่า,Pak Tha,14,02,08
545,14020900,หนองขนาก,Nong Khanak,14,02,09
546,14021000,ท่าเจ้าสนุก,Tha Chao Sanuk,14,02,10
547,14030000,นครหลวง,Nakhon Luang,14,03,00
548,14030100,นครหลวง,Nakhon Luang,14,03,01
549,14030200,ท่าช้าง,Tha Chang,14,03,02
550,14030300,บ่อโพง,Bo Phong,14,03,03
551,14030400,บ้านชุ้ง,Ban Chung,14,03,04
552,14030500,ปากจั่น,Pak Chan,14,03,05
553,14030600,บางระกำ,Bang Rakam,14,03,06
554,14030700,บางพระครู,Bang Phra Khru,14,03,07
555,14030800,แม่ลา,Mae La,14,03,08
556,14030900,หนองปลิง,Nong Pling,14,03,09
557,14031000,คลองสะแก,Khlong Sakae,14,03,10
558,14031100,สามไถ,Sam Thai,14,03,11
559,14031200,พระนอน,Phra Non,14,03,12
560,14040000,บางไทร,Bang Sai,14,04,00
561,14040100,บางไทร,Bang Sai,14,04,01
562,14040200,บางพลี,Bang Phli,14,04,02
563,14040300,สนามชัย,Sanam Chai,14,04,03
564,14040400,บ้านแป้ง,Ban Paeng,14,04,04
565,14040500,หน้าไม้,Na Mai,14,04,05
566,14040600,บางยี่โท,Bang Yitho,14,04,06
567,14040700,แคออก,Khae Ok,14,04,07
568,14040800,แคตก,Khae Tok,14,04,08
