geo_id,geo_code,name,abbreviation,type_id
1636,county-20110000,เกาะจันทร์,-,5
1637,county-21010000,เมืองระยอง,-,5
1638,county-21020000,บ้านฉาง,-,5
1639,county-21030000,แกลง,-,5
1640,county-21040000,วังจันทร์,-,5
1641,county-21050000,บ้านค่าย,-,5
1642,county-21060000,ปลวกแดง,-,5
1643,county-21070000,เขาชะเมา,-,5
1644,county-21080000,นิคมพัฒนา,-,5
1645,county-22010000,เมืองจันทบุรี,-,5
1646,county-22020000,ขลุง,-,5
1647,county-22030000,ท่าใหม่,-,5
1648,county-22040000,โป่งน้ำร้อน,-,5
1649,county-22050000,มะขาม,-,5
1650,county-22060000,แหลมสิงห์,-,5
1651,county-22070000,สอยดาว,-,5
1652,county-22080000,แก่งหางแมว,-,5
1653,county-22090000,นายายอาม,-,5
1654,county-22100000,เขาคิชฌกูฏ,-,5
1655,county-23010000,เมืองตราด,-,5
1656,county-23020000,คลองใหญ่,-,5
1657,county-23030000,เขาสมิง,-,5
1658,county-23040000,บ่อไร่,-,5
1659,county-23050000,แหลมงอบ,-,5
1660,county-23060000,เกาะกูด,-,5
1661,county-23070000,เกาะช้าง,-,5
1662,county-24010000,เมืองฉะเชิงเทรา,-,5
1663,county-24020000,บางคล้า,-,5
1664,county-24030000,บางน้ำเปรี้ยว,-,5
1665,county-24040000,บางปะกง,-,5
1666,county-24050000,บ้านโพธิ์,-,5
1667,county-24060000,พนมสารคาม,-,5
1668,county-24070000,ราชสาส์น,-,5
1669,county-24080000,สนามชัยเขต,-,5
1670,county-24090000,แปลงยาว,-,5
1671,county-24100000,ท่าตะเกียบ,-,5
1672,county-24110000,คลองเขื่อน,-,5
1673,county-25010000,เมืองปราจีนบุรี,-,5
1674,county-25020000,กบินทร์บุรี,-,5
1675,county-25030000,นาดี,-,5
1676,county-25060000,บ้านสร้าง,-,5
1677,county-25070000,ประจันตคาม,-,5
1678,county-25080000,ศรีมหาโพธิ,-,5
1679,county-25090000,ศรีมโหสถ,-,5
1680,county-26010000,เมืองนครนายก,-,5
1681,county-26020000,ปากพลี,-,5
1682,county-26030000,บ้านนา,-,5
1683,county-26040000,องครักษ์,-,5
1684,county-27010000,เมืองสระแก้ว,-,5
1685,county-27020000,คลองหาด,-,5
1686,county-27030000,ตาพระยา,-,5
1687,county-27040000,วังน้ำเย็น,-,5
1688,county-27050000,วัฒนานคร,-,5
1689,county-27060000,อรัญประเทศ,-,5
1690,county-27070000,เขาฉกรรจ์,-,5
1691,county-27080000,โคกสูง,-,5
1692,county-27090000,วังสมบูรณ์,-,5
