ทำเนียบท้องที่,Unnamed: 1,Unnamed: 2,Unnamed: 3
รหัสจังหวัด 2 หลัก // อำเภอ 2 หลัก // ตำบล 2 หลัก,,,
ข้อมูล ณ วันที่ 1 กันยายน 2566,,,
,,,
รหัสจังหวัด 2 หลัก//อำเภอ 4 หลัก//ตำบล 6 หลัก,จังหวัด/อำเภอ/ตำบล ภาษาไทย,จังหวัด/อำเภอ/ตำบล ภาษาอังกฤษ,ปีเดือนวันที่จำหน่าย
10140300,ทุ่งพญาไท*,Thung Phaya Thai,25490101
10140400,มักกะสัน*,Makkasan,25490101
10140500,ถนนพญาไท*,Thanon Phaya Thai,25490101
10140600,พญาไท,Phaya Thai,0
10149900,ทุ่งพญาไท*,Thung Phaya Thai,25490101
10150000,เขตธนบุรี,Thon Buri,0
10150100,วัดกัลยาณ์,Wat Kanlaya,0
10150200,หิรัญรูจี,Hiran Ruchi,0
10150300,บางยี่เรือ,Bang Yi Ruea,0
10150400,บุคคโล,Bukkhalo,0
10150500,ตลาดพลู,Talat Phlu,0
10150600,ดาวคะนอง,Dao Khanong,0
10150700,สำเหร่,Samre,0
10159900,คลองสาน*,Khlong San,25490101
10160000,เขตบางกอกใหญ่,Bangkok Yai,0
10160100,วัดอรุณ,Wat Arun,0
10160200,วัดท่าพระ,Wat Tha Phra,0
10170000,เขตห้วยขวาง,Huai Khwang,0
10170100,ห้วยขวาง,Huai Khwang,0
10170200,บางกะปิ,Bang Kapi,0
10170300,ดินแดง*,Din Daeng,25490101
10170400,สามเสนนอก,Sam Sen Nok,0
10180000,เขตคลองสาน,Khlong San,0
10180100,สมเด็จเจ้าพระยา,Somdet Chao Phraya,0
10180200,คลองสาน,Khlong San,0
10180300,บางลำภูล่าง,Bang Lamphu Lang,0
10180400,คลองต้นไทร,Khlong Ton Sai,0
10190000,เขตตลิ่งชัน,Taling Chan,0
10190100,คลองชักพระ,Khlong Chak Phra,0
10190200,ตลิ่งชัน,Taling Chan,0
10190300,ฉิมพลี,Chimphli,0
10190400,บางพรม,Bang Phrom,0
10190500,บางระมาด,Bang Ramat,0
10190600,ทวีวัฒนา*,Thawi Watthana,25490101
10190700,บางเชือกหนัง,Bang Chueak Nang,0
10190800,ศาลาธรรมสพน์*,Sala Thammasop,25490101
10200000,เขตบางกอกน้อย,Bangkok Noi,0
10200100,บางพลัด*,Bang Phlat,25490101
10200200,บางบำหรุ*,Bang Bamru,25490101
10200300,บางอ้อ*,Bang O,25490101
10200400,ศิริราช,Sirirat,0
10200500,บ้านช่างหล่อ,Ban Chang Lo,0
10200600,บางขุนนนท์,Bang Khun Non,0
10200700,บางขุนศรี,Bang Khun Si,0
10200800,บางยี่ขัน*,Bang Yi Khan,25490101
10200900,อรุณอมรินทร์,Arun Ammarin,0
10209700,บางยี่ขัน*,Bang Yi Khan,25490101
10209800,บางบำหรุ*,Bang Bamru,25490101
10209900,บางอ้อ*,Bang O,25490101
10210000,เขตบางขุนเทียน,Bang Khun Thian,0
10210100,บางค้อ*,Bang Kho,25490101
10210200,จอมทอง*,Chom Thong,25490101
10210300,บางขุนเทียน*,Bang Khun Thian,25490101
10210400,บางบอน*,Bang Bon,25490101
10210500,ท่าข้าม,Tha Kham,0
10210600,บางมด*,Bang Mot,25490101
10210700,แสมดำ,Samae Dam,0
10220000,เขตภาษีเจริญ,Phasi Charoen,0
10220100,บางหว้า,Bang Wa,0
10220200,บางด้วน,Bang Duan,0
10220300,บางแค*,Bang Khae,25561218
10220400,บางแคเหนือ*,Bang Khae Nuea,25561218
10220500,บางไผ่*,Bang Phai,25561218
10220600,บางจาก,Bang Chak,0
10220700,บางแวก,Bang Waek,0
10220800,คลองขวาง,Khlong Khwang,0
10220900,ปากคลองภาษีเจริญ,Pak Khlong Phasi Charoen,0
10221000,คูหาสวรรค์,Khuha Sawan,0
10230000,เขตหนองแขม,Nong Khaem,0
10230100,หลักสอง*,Lak Song,25490101
10230200,หนองแขม,Nong Khaem,0
10230300,หนองค้างพลู,Nong Khang Phlu,0
10240000,เขตราษฎร์บูรณะ,Rat Burana,0
10240100,ราษฎร์บูรณะ,Rat Burana,0
10240200,บางปะกอก,Bang Pa Kok,0
10240300,บางมด*,Bang Mot,25500525
10240400,ทุ่งครุ*,Thung Khru,25500525
10250000,เขตบางพลัด,Bang Phlat,0
