รหัสสำนักทะเบียน/อำเภอ,จังหวัด/สำนักทะเบียน/อำเภอ ภาษาไทย,จังหวัด/สำนักทะเบียน/อำเภอ ภาษาอังกฤษ,ปีเดือนวันที่จำหน่าย
3208,อำเภอสนม,Sanom District,0
3209,อำเภอศีขรภูมิ,Sikhoraphum District,0
3210,อำเภอสังขะ,Sangkha District,0
3211,อำเภอลำดวน,Lamduan District,0
3212,อำเภอสำโรงทาบ,Samrong Thap District,0
3213,อำเภอบัวเชด,Buachet District,0
3214,อำเภอพนมดงรัก,Phanom Dong Rak District,0
3215,อำเภอศรีณรงค์,Si Narong District,0
3216,อำเภอเขวาสินรินทร์,Khwao Sinarin District,0
3217,อำเภอโนนนารายณ์,Non Narai District,0
3286,ท้องถิ่นเทศบาลตำบลบัวเชด,Buachet Sub-district Municipality,0
3287,ท้องถิ่นเทศบาลตำบลสำโรงทาบ,Samrong Thap Sub-district Municipality,0
3288,ท้องถิ่นเทศบาลตำบลลำดวนสุรพินท์,Lamduan Suraphin Sub-district Municipality,0
3289,ท้องถิ่นเทศบาลตำบลสังขะ,Sangkha Sub-district Municipality,0
3290,ท้องถิ่นเทศบาลตำบลศีขรภูมิ,Sikhoraphum Sub-district Municipality,0
3291,ท้องถิ่นเทศบาลตำบลสนม,Sanom Sub-district Municipality,0
3292,ท้องถิ่นเทศบาลตำบลรัตนบุรี,Rattanaburi Sub-district Municipality,0
3293,ท้องถิ่นเทศบาลตำบลนิคมปราสาท,Nikhom Prasat Sub-district Municipality,0
3294,ท้องถิ่นเทศบาลตำบลกังแอน,Kang Aen Sub-district Municipality,0
3295,ท้องถิ่นเทศบาลตำบลจอมพระ,Chom Phra Sub-district Municipality,0
3296,ท้องถิ่นเทศบาลตำบลท่าตูม,Tha Tum Sub-district Municipality,0
3297,ท้องถิ่นเทศบาลตำบลชุมพลบุรี,Chumphon Buri Sub-district Municipality,0
3298,ท้องถิ่นเทศบาลตำบลเมืองที,Mueang Thi Sub-district Municipality,0
3299,ท้องถิ่นเทศบาลเมืองสุรินทร์,Surin Town Municipality,0
3300,จังหวัดศรีสะเกษ,Si Sa Ket Province,0
3301,อำเภอเมืองศรีสะเกษ,Mueang Si Sa Ket District,0
3302,อำเภอยางชุมน้อย,Yang Chum Noi District,0
3303,อำเภอกันทรารมย์,Kanthararom District,0
3304,อำเภอกันทรลักษ์,Kantharalak District,0
3305,อำเภอขุขันธ์,Khukhan District,0
3306,อำเภอไพรบึง,Phrai Bueng District,0
3307,อำเภอปรางค์กู่,Prang Ku District,0
3308,อำเภอขุนหาญ,Khun Han District,0
3309,อำเภอราษีไศล,Rasi Salai District,0
3310,อำเภออุทุมพรพิสัย,Uthumphon Phisai District,0
3311,อำเภอบึงบูรพ์,Bueng Bun District,0
3312,อำเภอห้วยทับทัน,Huai Thap Than District,0
3313,อำเภอโนนคูณ,Non Khun District,0
3314,อำเภอศรีรัตนะ,Si Rattana District,0
3315,อำเภอน้ำเกลี้ยง,Nam Kliang District,0
3316,อำเภอวังหิน,Wang Hin District,0
3317,อำเภอภูสิงห์,Phu Sing District,0
3318,อำเภอเมืองจันทร์,Mueang Chan District,0
3319,อำเภอเบญจลักษ์,Benchalak District,0
3320,อำเภอพยุห์,Phayu District,0
3321,อำเภอโพธิ์ศรีสุวรรณ,Pho Si Suwan District,0
3322,อำเภอศิลาลาด,Sila Lat District,0
3323,กิ่งอำเภอทับทิมสยาม,Thapthim Sayam Minor District,25550101
3324,กิ่งอำเภอศรีเมืองทอง,Sri Mueang Thong Minor District,25550101
3325,กิ่งอำเภอเขาพระวิหาร,Khao Phrawihan Minor District,25550101
3381,ท้องถิ่นเทศบาลตำบลบุสูง,Bu Sung Sub-district Municipality,0
3382,ท้องถิ่นเทศบาลตำบลกันทรอม,Kanthrom Sub-district Municipality,0
3383,ท้องถิ่นเทศบาลตำบลกระหวัน,Kra Wan Sub-district Municipality,0
3384,ท้องถิ่นเทศบาลตำบลน้ำคำ,Namkham Sub-district Municipality,0
3385,ท้องถิ่นเทศบาลตำบลโพธิ์กระสังข์,Pho Kra Sang Sub-district Municipality,0
3386,ท้องถิ่นเทศบาลตำบลพยุห์,Phayu Sub-district Municipality,0
3387,ท้องถิ่นเทศบาลตำบลศรีรัตนะ,Si Rattana Sub-district Municipality,0
3388,ท้องถิ่นเทศบาลตำบลห้วยทับทัน,Huai Thap Than Sub-district Municipality,0
3389,ท้องถิ่นเทศบาลตำบลบึงบูรพ์,Bueng Bun Sub-district Municipality,0
3390,ท้องถิ่นเทศบาลตำบลกำแพง,Kamphaeng Sub-district Municipality,0
3391,ท้องถิ่นเทศบาลตำบลเมืองคง,Mueang Khong Sub-district Municipality,0
3392,ท้องถิ่นเทศบาลตำบลขุนหาญ,Khun Han Sub-district Municipality,0
3393,ท้องถิ่นเทศบาลตำบลปรางค์กู่,Prang Ku Sub-district Municipality,0
3394,ท้องถิ่นเทศบาลตำบลไพรบึง,Phrai Bueng Sub-district Municipality,0
3395,ท้องถิ่นเทศบาลตำบลเมืองขุขันธ์,Mueang Khukhan Sub-district Municipality,0
3396,ท้องถิ่นเทศบาลเมืองกันทรลักษ์,Kantharalak Town Municipality,0
3397,ท้องถิ่นเทศบาลตำบลกันทรารมย์,Kanthararom Sub-district Municipality,0
3398,ท้องถิ่นเทศบาลตำบลยางชุมน้อย,Yang Chum Noi Sub-district Municipality,0
3399,ท้องถิ่นเทศบาลเมืองศรีสะเกษ,Si Sa Ket Town Municipality,0
3400,จังหวัดอุบลราชธานี,Ubon Ratchathani Province,0
3401,อำเภอเมืองอุบลราชธานี,Mueang Ubon Ratchathani District,0
3402,อำเภอศรีเมืองใหม่,Si Mueang Mai District,0
3403,อำเภอโขงเจียม,Khong Chiam District,0
3404,อำเภอเขื่องใน,Khueang Nai District,0
3405,อำเภอเขมราฐ,Khemarat District,0
3406,อำเภอชานุมาน,Chanuman District,25550101
3407,อำเภอเดชอุดม,Det Udom District,0
3408,อำเภอนาจะหลวย,Na Chaluai District,0
3409,อำเภอน้ำยืน,Nam Yuen District,0
3410,อำเภอบุณฑริก,Buntharik District,0
3411,อำเภอตระการพืชผล,Trakan Phuet Phon District,0
3412,อำเภอกุดข้าวปุ้น,Kut Khaopun District,0
3413,อำเภอพนา,Phana District,25550101
3414,อำเภอม่วงสามสิบ,Muang Sam Sip District,0
3415,อำเภอวารินชำราบ,Warin Chamrap District,0
3416,อำเภออำนาจเจริญ,Amnat Charoen District,25550101
3417,อำเภอเสนางคนิคม,Senangkhanikhom District,25550101
3418,อำเภอหัวตะพาน,Hua Taphan District,25550101
3419,อำเภอพิบูลมังสาหาร,Phibun Mangsahan District,0
3420,อำเภอตาลสุม,Tan Sum District,0
3421,อำเภอโพธิ์ไทร,Pho Sai District,0
3422,อำเภอสำโรง,Samrong District,0
3423,กิ่งอำเภอลืออำนาจ,Lue Amnat Minor District,25550101
3424,อำเภอดอนมดแดง,Don Mot Daeng District,0
3425,อำเภอสิรินธร,Sirindhorn District,0
3426,อำเภอทุ่งศรีอุดม,Thung Si Udom District,0
3427,อำเภอปทุมราชวงศา,Pathum Ratchawongsa District,25550101
3429,อำเภอนาเยีย,Na Yia District,0
3430,อำเภอนาตาล,Na Tan District,0
3431,อำเภอเหล่าเสือโก้ก,Lao Suea Kok District,0
3432,อำเภอสว่างวีระวงศ์,Sawang Wirawong District,0
3433,อำเภอน้ำขุ่น,Nam Khun District,0
3463,ท้องถิ่นเทศบาลตำบลกุดชมภู,Kut Chomphu Sub-district Municipality,0
3464,ท้องถิ่นเทศบาลตำบลคำน้ำแซบ,Kham Nam Saep Sub-district Municipality,0
3465,ท้องถิ่นเทศบาลตำบลหัวนา,Hua Na Sub-district Municipality,0
3466,ท้องถิ่นเทศบาลตำบลโพนงาม,Phon Ngam Sub-district Municipality,0
3467,ท้องถิ่นเทศบาลตำบลเมืองศรีไค,Mueang Si Khai Sub-district Municipality,0
3468,ท้องถิ่นเทศบาลตำบลหนองผือ,Nong Phue Sub-district Municipality,0
3469,ท้องถิ่นเทศบาลตำบลขามป้อม,Kham Pom Sub-district Municipality,0
3470,ท้องถิ่นเทศบาลตำบลเทพวงศา,Thep Wongsa Sub-district Municipality,0
3471,ท้องถิ่นเทศบาลตำบลปทุม,Pathum Sub-district Municipality,0
3472,ท้องถิ่นเทศบาลตำบลคอแลน,Kholaen Sub-district Municipality,0
3473,ท้องถิ่น ทต.นิคมสร้างตนเองลำโดมน้อย,Nikhomsangton-eng Lam Dom Noi Sub-district Municipality,0
3474,ท้องถิ่นเทศบาลตำบลกุดประทาย,Kut Prathai Sub-district Municipality,0
3475,ท้องถิ่นเทศบาลตำบลขามใหญ่,Kham Yai Sub-district Municipality,0
3476,ท้องถิ่นเทศบาลตำบลแสนสุข,Saen Suk Sub-district Municipality,0
3477,ท้องถิ่นเทศบาลตำบลนาเยีย,Na Yia Sub-district Municipality,0
3478,ท้องถิ่นเทศบาลตำบลช่องเม็ก,Chong Mek Sub-district Municipality,0
3479,ท้องถิ่นเทศบาลตำบลโพธิ์ไทร,Pho Sai Sub-district Municipality,0
3480,ท้องถิ่นเทศบาลตำบลตาลสุม,Tan Sum Sub-district Municipality,0
3481,ท้องถิ่นเทศบาลตำบลอ่างศิลา,Ang Sila Sub-district Municipality,0
3482,ท้องถิ่นเทศบาลตำบลห้วยขะยุง,Huai Kha Yung Sub-district Municipality,0
3483,ท้องถิ่นเทศบาลตำบลม่วงสามสิบ,Muang Sam Sip Sub-district Municipality,0
3484,ท้องถิ่นเทศบาลตำบลกุดข้าวปุ้น,Kut Khaopun Sub-district Municipality,0
3485,ท้องถิ่นเทศบาลตำบลตระการพืชผล,Trakan Phuet Phon Sub-district Municipality,0
3486,ท้องถิ่นเทศบาลตำบลบุณฑริก,Buntharik Sub-district Municipality,0
3487,ท้องถิ่นเทศบาลตำบลน้ำยืน,Nam Yuen Sub-district Municipality,0
3488,ท้องถิ่นเทศบาลตำบลนาจะหลวย,Na Chaluai Sub-district Municipality,0
3489,ท้องถิ่นเทศบาลเมืองเดชอุดม,Det Udom Town Municipality,0
3490,ท้องถิ่นเทศบาลตำบลบัวงาม,Bua Ngam Sub-district Municipality,0
3491,ท้องถิ่นเทศบาลตำบลนาส่วง,Na Suang Sub-district Municipality,0
3492,ท้องถิ่นเทศบาลตำบลเขมราฐ,Khemarat Sub-district Municipality,0
3493,ท้องถิ่นเทศบาลตำบลเขื่องใน,Khueang Nai Sub-district Municipality,0
3494,ท้องถิ่นเทศบาลตำบลบ้านด่านโขงเจียม,Ban Dan Khong Chiam Sub-district Municipality,0
3495,ท้องถิ่นเทศบาลตำบลศรีเมืองใหม่,Si Mueang Mai Sub-district Municipality,0
3496,ท้องถิ่นเทศบาลตำบลอุบล,Ubon Sub-district Municipality,0
3497,ท้องถิ่นเทศบาลเมืองพิบูลมังสาหาร,Phibun Mangsahan Town Municipality,0
3498,ท้องถิ่นเทศบาลเมืองวารินชำราบ,Warin Chamrap Town Municipality,0
3499,ท้องถิ่นเทศบาลนครอุบลราชธานี,Ubon Ratchathani City Municipality,0
3500,จังหวัดยโสธร,Yasothon Province,0
3501,อำเภอเมืองยโสธร,Mueang Yasothon District,0
3502,อำเภอทรายมูล,Sai Mun District,0
3503,อำเภอกุดชุม,Kut Chum District,0
3504,อำเภอคำเขื่อนแก้ว,Kham Khuean Kaeo District,0
3505,อำเภอป่าติ้ว,Pa Tio District,0
3506,อำเภอมหาชนะชัย,Maha Chana Chai District,0
3507,อำเภอค้อวัง,Kho Wang District,0
3508,อำเภอเลิงนกทา,Loeng Nok Tha District,0
3509,อำเภอไทยเจริญ,Thai Charoen District,0
3510,กิ่งอำเภอบดินทรเดชา,Bodindecha Minor District,25550101
3591,ท้องถิ่นเทศบาลตำบลสามแยก,Sam Yaek Sub-district Municipality,0
3592,ท้องถิ่นเทศบาลตำบลเลิงนกทา,Loeng Nok Tha Sub-district Municipality,0
3593,ท้องถิ่นเทศบาลตำบลค้อวัง,Kho Wang Sub-district Municipality,0
3594,ท้องถิ่นเทศบาลตำบลฟ้าหยาด,Fa Yat Sub-district Municipality,0
3595,ท้องถิ่นเทศบาลตำบลป่าติ้ว,Pa Tio Sub-district Municipality,0
3596,ท้องถิ่นเทศบาลตำบลคำเขื่อนแก้ว,Kham Khuean Kaeo Sub-district Municipality,0
3597,ท้องถิ่นเทศบาลตำบลกุดชุมพัฒนา,Kut Chum Phatthana Sub-district Municipality,0
3598,ท้องถิ่นเทศบาลตำบลทรายมูล,Sai Mun Sub-district Municipality,0
3599,ท้องถิ่นเทศบาลเมืองยโสธร,Yasothon Town Municipality,0
3600,จังหวัดชัยภูมิ,Chaiyaphum Province,0
3601,อำเภอเมืองชัยภูมิ,Mueang Chaiyaphum District,0
3602,อำเภอบ้านเขว้า,Ban Khwao District,0
3603,อำเภอคอนสวรรค์,Khon Sawan District,0
3604,อำเภอเกษตรสมบูรณ์,Kaset Sombun District,0
3605,อำเภอหนองบัวแดง,Nong Bua Daeng District,0
3606,อำเภอจัตุรัส,Chatturat District,0
3607,อำเภอบำเหน็จณรงค์,Bamnet Narong District,0
3608,อำเภอหนองบัวระเหว,Nong Bua Rawe District,0
3609,อำเภอเทพสถิต,Thep Sathit District,0
3610,อำเภอภูเขียว,Phu Khiao District,0
3611,อำเภอบ้านแท่น,Ban Thaen District,0
3612,อำเภอแก้งคร้อ,Kaeng Khro District,0
3613,อำเภอคอนสาร,Khon San District,0
3614,อำเภอภักดีชุมพล,Phakdi Chumphon District,0
3615,อำเภอเนินสง่า,Noen Sa-nga District,0
3616,อำเภอซับใหญ่,Sap Yai District,0
3617,กิ่งอำเภอภูผาทอง,Phupha Thong Minor District,25550101
3618,กิ่งอำเภอบ้านเดื่อ,Ban Duea Minor District,25550101
3651,สาขาตำบลโนนสำราญ,Non Samran Branch,25550101
3652,สาขาตำบลบ้านหว่าเฒ่า,Ban Wa Thao Branch,25550101
3653,สาขาตำบลวังชมภู หนองบัวแดง,Wang Chomphu Branch Nong Bua Daeng,25550101
3654,สาขาตำบลซับใหญ่ อำเภอจัตุรัส,Sap Yai Branch Chatturat District,25550101
3655,สาขาตำบลโคกเพชร อำเภอบำเหน็จณรงค์,Khok Phet Branch Bamnet Narong District,25550101
3656,สาขาตำบลนายางกลัก อำเภอเทพสถิต,Yang Klak Branch Thep Sathit District,25550101
3657,สาขาตำบลบ้านเต่า อำเภอบ้านแท่น,Ban Tao Branch Ban Thaen District,25550101
3658,สาขาตำบลท่ามะไฟหวาน อำเภอแก้งคร้อ,Tha Mafai Wan Branch Kaeng Khro District,25550101
3659,สาขาตำบลโนนคูณ อำเภอคอนสาร ,Non Khun Branch Khon San District,25550101
3676,ท้องถิ่นเทศบาลตำบลห้วยยาง,Huai Yang Sub-district Municipality,0
3677,ท้องถิ่นเทศบาลตำบลบ้านเดื่อ,Ban Duea Sub-district Municipality,0
3678,ท้องถิ่นเทศบาลตำบลโคกสะอาด,Khok Sa-at Sub-district Municipality,25550101
3679,ท้องถิ่นเทศบาลตำบลห้วยแย้,Huai Yae Sub-district Municipality,25540216
3680,ท้องถิ่นเทศบาลตำบลคอนสาร,Khon San Sub-district Municipality,0
3681,ท้องถิ่นเทศบาลตำบลแก้งคร้อ,Kaeng Khro Sub-district Municipality,0
3682,ท้องถิ่นเทศบาลตำบลนาหนองทุ่ม,Na Nong Thum Sub-district Municipality,0
3683,ท้องถิ่นเทศบาลตำบลบ้านแท่น,Ban Thaen Sub-district Municipality,0
3684,ท้องถิ่นเทศบาลตำบลภูเขียว,Phu Khiao Sub-district Municipality,0
3685,ท้องถิ่นเทศบาลตำบลบ้านเพชรภูเขียว,Ban Phet Phu Khiao Sub-district Municipality,0
3686,ท้องถิ่นเทศบาลตำบลเทพสถิต,Thep Sathit Sub-district Municipality,0
3687,ท้องถิ่นเทศบาลตำบลหนองบัวระเหว,Nong Bua Rawe Sub-district Municipality,0
3688,ท้องถิ่นเทศบาลตำบลบำเหน็จณรงค์,Bamnet Narong Sub-district Municipality,0
3689,ท้องถิ่นเทศบาลตำบลบ้านเพชร,Ban Phet Sub-district Municipality,0
3690,ท้องถิ่นเทศบาลตำบลหนองบัวโคก,Nong Bua Khok Sub-district Municipality,0
3691,ท้องถิ่นเทศบาลตำบลจัตุรัส,Chatturat Sub-district Municipality,0
3692,ท้องถิ่นเทศบาลตำบลหนองบัวแดง,Nong Bua Daeng Sub-district Municipality,0
3693,ท้องถิ่นเทศบาลตำบลบ้านเป้า,Ban Pao Sub-district Municipality,0
3694,ท้องถิ่นเทศบาลตำบลเกษตรสมบูรณ์,Kaset Sombun Sub-district Municipality,0
3695,ท้องถิ่นเทศบาลตำบลคอนสวรรค์,Khon Sawan Sub-district Municipality,0
3696,ท้องถิ่นเทศบาลตำบลบ้านเขว้า,Ban Khwao Sub-district Municipality,0
3697,ท้องถิ่นเทศบาลตำบลลาดใหญ่,Lat Yai Sub-district Municipality,0
3698,ท้องถิ่นเทศบาลตำบลบ้านค่ายหมื่นแผ้ว,Ban Khai Muen Phaeo Sub-district Municipality,0
3699,ท้องถิ่นเทศบาลเมืองชัยภูมิ,Chaiyaphum Town Municipality,0
3700,จังหวัดอำนาจเจริญ,Amnat Charoen Province,0
3701,อำเภอเมืองอำนาจเจริญ,Mueang Amnat Charoen District,0
3702,อำเภอชานุมาน,Chanuman District,0
3703,อำเภอปทุมราชวงศา,Pathum Ratchawongsa District,0
3704,อำเภอพนา,Phana District,0
3705,อำเภอเสนางคนิคม,Senangkhanikhom District,0
3706,อำเภอหัวตะพาน,Hua Taphan District,0
3707,อำเภอลืออำนาจ,Lue Amnat District,0
3790,ท้องถิ่นเทศบาลตำบลนายม,Na Yom Sub-district Municipality,0
3791,ท้องถิ่นเทศบาลตำบลพระเหลา,Phra Lao Sub-district Municipality,0
3792,ท้องถิ่นเทศบาลตำบลอำนาจ,Amnat Sub-district Municipality,0
3793,ท้องถิ่นเทศบาลตำบลหัวตะพาน,Hua Taphan Sub-district Municipality,0
3794,ท้องถิ่นเทศบาลตำบลเสนางคนิคม,Senangkhanikhom Sub-district Municipality,0
3795,ท้องถิ่นเทศบาลตำบลพนา,Phana Sub-district Municipality,0
3796,ท้องถิ่นเทศบาลตำบลปทุมราชวงศา,Pathum Ratchawongsa Sub-district Municipality,0
3797,ท้องถิ่นเทศบาลตำบลชานุมาน,Chanuman Sub-district Municipality,0
3798,ท้องถิ่นเทศบาลตำบลน้ำปลีก,Nam Plik Sub-district Municipality,0
3799,ท้องถิ่นเทศบาลเมืองอำนาจเจริญ,Amnat Charoen Town Municipality,0
3800,จังหวัดบึงกาฬ,Bueng Kan Province,0
3801,อำเภอเมืองบึงกาฬ,Mueang Bueng Kan District,0
3802,อำเภอพรเจริญ,Phon Charoen District,0
3803,อำเภอโซ่พิสัย,So Phisai District,0
3804,อำเภอเซกา,Seka District,0
3805,อำเภอปากคาด,Pak Khat District,0
3806,อำเภอบึงโขงหลง,Bueng Khong Long District,0
3807,อำเภอศรีวิไล,Si Wilai District,0
3808,อำเภอบุ่งคล้า,Bung Khla District,0
3887,ท้องถิ่นเทศบาลตำบลหอคำ,Hokham Sub-district Municipality,0
3888,ท้องถิ่นเทศบาลตำบลโนนสว่าง,Non Sawang Sub-district Municipality,0
3889,ท้องถิ่นเทศบาลตำบลวิศิษฐ์,Wisit Sub-district Municipality,25631001
3890,ท้องถิ่นเทศบาลตำบลศรีวิไล,Si Wilai Sub-district Municipality,0
3891,ท้องถิ่นเทศบาลตำบลบึงโขงหลง,Bueng Khong Long Sub-district Municipality,0
3892,ท้องถิ่นเทศบาลตำบลปากคาด,Pak Khat Sub-district Municipality,0
3893,ท้องถิ่นเทศบาลตำบลศรีพนา,Si Phana Sub-district Municipality,0
3894,ท้องถิ่นเทศบาลตำบลท่าสะอาด,Tha Sa-at Sub-district Municipality,0
3895,ท้องถิ่นเทศบาลตำบลโซ่พิสัย,So Phisa Sub-district Municipality,0
3896,ท้องถิ่นเทศบาลตำบลพรเจริญ,Phon Charoen Sub-district Municipality,0
3897,ท้องถิ่นเทศบาลตำบลดอนหญ้านาง,Don Ya Nang Sub-district Municipality,0
3898,ท้องถิ่นเทศบาลเมืองบึงกาฬ,Bueng Kan Town Municipality,0
3900,จังหวัดหนองบัวลำภู,Nong Bua Lam Phu Province,0
3901,อำเภอเมืองหนองบัวลำภู,Mueang Nong Bua Lam Phu District,0
3902,อำเภอนากลาง,Na Klang District,0
3903,อำเภอโนนสัง,Non Sang District,0
3904,อำเภอศรีบุญเรือง,Si Bun Rueang District,0
3905,อำเภอสุวรรณคูหา,Suwannakhuha District,0
3906,อำเภอนาวัง,Na Wang District,0
3907,กิ่งอำเภอกุดดินจี่,Kut Din Chi Minor District,25550101
3908,กิ่งอำเภอยางหล่อ,Yang Lo Minor District,25550101
3909,กิ่งอำเภอหัวนา,Hua Na Minor District,25550101
3986,ท้องถิ่นเทศบาลตำบลยางหล่อ,Yanglon Sub-district Municipality,0
3987,ท้องถิ่นเทศบาลตำบลนาเหล่า,Na Lao Sub-district Municipality,0
3988,ท้องถิ่นเทศบาลตำบลสุวรรณคูหา,Suwannakhuha Sub-district Municipality,0
3989,ท้องถิ่นเทศบาลตำบลบ้านโคก,Ban Khok Sub-district Municipality,0
3990,ท้องถิ่นเทศบาลตำบลโนนสูงเปลือย,Non Sung Plueai Sub-district Municipality,0
3991,ท้องถิ่นเทศบาลตำบลจอมทอง,Chomthong Sub-district Municipality,0
3992,ท้องถิ่นเทศบาลตำบลโนนสัง,Non Sang Sub-district Municipality,0
3993,ท้องถิ่นเทศบาลตำบลกุดดู่,Kut Du Sub-district Municipality,0
3994,ท้องถิ่นเทศบาลตำบลนากลาง,Na Klang Sub-district Municipality,0
3995,ท้องถิ่นเทศบาลตำบลกุดดินจี่,Kut Din Chai Sub-district Municipality,0
3996,ท้องถิ่นเทศบาลตำบลหัวนา,Hua Na Sub-district Municipality,0
3997,ท้องถิ่นเทศบาลตำบลนามะเฟือง,Na Mafueang Sub-district Municipality,0
3998,ท้องถิ่นเทศบาลตำบลนาคำไฮ,Na Kham Hai Sub-district Municipality,0
3999,ท้องถิ่นเทศบาลเมืองหนองบัวลำภู,Nong Bua Lam Phu Town Municipality,0
4000,จังหวัดขอนแก่น,Khon Kaen Province,0
4001,อำเภอเมืองขอนแก่น,Mueang Khon Kaen District,0
4002,อำเภอบ้านฝาง,Ban Fang District,0
4003,อำเภอพระยืน,Phra Yuen District,0
4004,อำเภอหนองเรือ,Nong Ruea District,0
4005,อำเภอชุมแพ,Chum Phae District,0
4006,อำเภอสีชมพู,Si Chomphu District,0
4007,อำเภอน้ำพอง,Nam Phong District,0
4008,อำเภออุบลรัตน์,Ubolratana District,0
4009,อำเภอกระนวน,Kranuan District,0
4010,อำเภอบ้านไผ่,Ban Phai District,0
4011,อำเภอเปือยน้อย,Pueai Noi District,0
4012,อำเภอพล,Phon District,0
4013,อำเภอแวงใหญ่,Waeng Yai District,0
4014,อำเภอแวงน้อย,Waeng Noi District,0
4015,อำเภอหนองสองห้อง,Nong Song Hong District,0
4016,อำเภอภูเวียง,Phu Wiang District,0
4017,อำเภอมัญจาคีรี,Mancha Khiri District,0
4018,อำเภอชนบท,Chonnabot District,0
4019,อำเภอเขาสวนกวาง,Khao Suan Kwang District,0
4020,อำเภอภูผาม่าน,Phu Pha Man District,0
4021,อำเภอซำสูง,Sam Sung District,0
4022,อำเภอโคกโพธิ์ไชย,Khok Pho Chai District,0
4023,อำเภอหนองนาคำ,Nong Na Kham District,0
4024,อำเภอบ้านแฮด,Ban Haet District,0
4025,อำเภอโนนศิลา,Non Sila District,0
4026,กิ่งอำเภอภูคำน้อย,Phu Kham Noi Minor District,25550101
4027,กิ่งอำเภอหนองแก,Nong Kae Minor District,25550101
4028,กิ่งอำเภอโนนหัน,Non Han Minor District,25550101
4029,อำเภอเวียงเก่า,Wiang Kao District,0
4054,ท้องถิ่นเทศบาลเมืองศิลา,Sila Town Municipality,0
4055,ท้องถิ่นเทศบาลตำบลโคกสูง,Khok Sung Sub-district Municipality,0
4056,ท้องถิ่นเทศบาลตำบลสะอาด,Sa-at Sub-district Municipality,0
4057,ท้องถิ่นเทศบาลเมืองบ้านทุ่ม,Ban Thum Town Municipality,0
4058,ท้องถิ่นเทศบาลตำบลโนนสมบูรณ์,Non Sombun Sub-district Municipality,0
4059,ท้องถิ่นเทศบาลตำบลนาข่า,Na Kha Sub-district Municipality,25570129
4060,ท้องถิ่นเทศบาลตำบลม่วงหวาน,Muang Wan Sub-district Municipality,0
4061,ท้องถิ่นเทศบาลตำบลหนองตูม,Nong Tum Sub-district Municipality,0
4062,ท้องถิ่นเทศบาลตำบลเมืองเก่า,Meuang Kao Sub-district Municipality,0
4063,ท้องถิ่นเทศบาลตำบลโนนท่อน,Non Thon Sub-district Municipality,0
4064,ท้องถิ่นเทศบาลตำบลบ้านค้อ,Ban Kho Sub-district Municipality,0
4065,ท้องถิ่นเทศบาลตำบลกุดน้ำใส,Kut Nam Sai Sub-district Municipality,0
4066,ท้องถิ่นเทศบาลตำบลลำน้ำพอง,Lamnam Phong Sub-district Municipality,25550101
4067,ท้องถิ่นเทศบาลตำบลสาวะถี,Sa Wa Thi Sub-district Municipality,0
4068,ท้องถิ่นเทศบาลตำบลบ้านเป็ด,Ban Pet Sub-district Municipality,0
4069,ท้องถิ่นเทศบาลตำบลโนนศิลา,Non SiLa Sub-district Municipality,0
4070,ท้องถิ่นเทศบาลตำบลบ้านแฮด,Ban Haet Sub-district Municipality,0
4071,ท้องถิ่นเทศบาลตำบลบ้านโคก,Ban Khok Sub-district Municipality,0
4072,ท้องถิ่นเทศบาลตำบลซำสูง,Sam Sung Sub-district Municipality,0
4073,ท้องถิ่นเทศบาลตำบลภูผาม่าน,Phu Pha Man Sub-district Municipality,0
4074,ท้องถิ่นเทศบาลตำบลเขาสวนกวาง,Khao Suan Kwang Sub-district Municipality,0
4075,ท้องถิ่นเทศบาลตำบลชนบท,Chonnabot Sub-district Municipality,0
4076,ท้องถิ่นเทศบาลตำบลมัญจาคีรี,Mancha Khiri Sub-district Municipality,0
4077,ท้องถิ่นเทศบาลตำบลภูเวียง,Phu Wiang Sub-district Municipality,0
4078,ท้องถิ่นเทศบาลตำบลหนองสองห้อง,Nong Song Hong Sub-district Municipality,0
4079,ท้องถิ่นเทศบาลตำบลแวงน้อย,Waeng Noi Sub-district Municipality,0
4080,ท้องถิ่นเทศบาลตำบลแวงใหญ่,Waeng Yai Sub-district Municipality,0
4081,ท้องถิ่นเทศบาลตำบลเปือยน้อย,Pueai Noi Sub-district Municipality,0
4082,ท้องถิ่นเทศบาลเมืองกระนวน,Kranuan Town Municipality,0
4083,ท้องถิ่นเทศบาลตำบลเขื่อนอุบลรัตน์,Khuean Ubolratana Sub-district Municipality,0
4084,ท้องถิ่นเทศบาลตำบลวังชัย,Wang Chai Sub-district Municipality,0
4085,ท้องถิ่นเทศบาลตำบลน้ำพอง,Nam Phong Sub-district Municipality,0
4086,ท้องถิ่นเทศบาลตำบลสีชมพู,Si Chomphu Sub-district Municipality,0
4087,ท้องถิ่นเทศบาลตำบลโนนหัน,Non Han Sub-district Municipality,0
4088,ท้องถิ่นเทศบาลตำบลโคกสูงสัมพันธ์,Khok Sung Sumphan Sub-district Municipality,0
4089,ท้องถิ่นเทศบาลตำบลหนองเรือ,Nong Ruea Sub-district Municipality,0
4090,ท้องถิ่นเทศบาลตำบลหนองแก,Nong Kae Sub-district Municipality,0
4091,ท้องถิ่นเทศบาลตำบลดอนโมง,Don Mong Sub-district Municipality,0
4092,ท้องถิ่นเทศบาลตำบลพระยืน,Phra Yuen Sub-district Municipality,0
