,geo_id,country_id
0,1419,221
1,1420,221
2,1421,221
3,1422,221
4,1423,221
5,1424,221
6,1425,221
7,1426,221
8,1427,221
9,1428,221
10,1429,221
11,1430,221
12,1431,221
13,1432,221
14,1433,221
15,1434,221
16,1435,221
17,1436,221
18,1437,221
19,1438,221
20,1439,221
21,1440,221
22,1441,221
23,1442,221
24,1443,221
25,1444,221
26,1445,221
27,1446,221
28,1447,221
29,1448,221
30,1449,221
31,1450,221
32,1451,221
33,1452,221
34,1453,221
35,1454,221
36,1455,221
37,1456,221
38,1457,221
39,1458,221
40,1459,221
41,1460,221
42,1461,221
43,1462,221
44,1463,221
45,1464,221
46,1465,221
47,1466,221
48,1467,221
49,1468,221
50,1469,221
51,1470,221
52,1471,221
53,1472,221
54,1473,221
55,1474,221
56,1475,221
57,1476,221
58,1477,221
59,1478,221
60,1479,221
61,1480,221
62,1481,221
63,1482,221
64,1483,221
65,1484,221
66,1485,221
67,1486,221
68,1487,221
69,1488,221
70,1489,221
71,1490,221
72,1491,221
73,1492,221
74,1493,221
75,1494,221
76,1495,221
